,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7414402208085832,18.97476969043074,679.5,338.125,38336298,2471662,0.11934,0.026608,205349219,29160498
namd,3.6498608587974144,0.22900000000000004,251.0,26.5,458235,157321,0.078044,0.072048,41133150,2065720
fotonik3d,0.35530748643640625,26.6,685.5,612.375,53309720,23325180,0.0097313,0.022975,422336163,273797768
cam4,1.700759719189257,3.7400000000000007,625.125,245.125,7506375,3024453,0.15839,0.20436,88371937,34398332
deepsjeng,3.5165367933819307,0.278,242.75,65.7375,555639,222754,0.001907,1.1958e-05,42680583,2655073
imagick,3.836008240854116,0.1284941630706176,576.625,27.3625,256835,10874,0.3149,0.25039,39138967,135750
wrf,3.7591784540969595,0.257,312.25,35.55,513746,153302,0.12909,0.19656,39999626,1732462
parest,0.5935777694051512,26.512176637174687,442.5,343.375,53162313,995843,0.23179,0.13209,253424412,11048175
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2768086937030497,27.699999999999996,821.875,505.75,55354959,41324427,0.05269,0.09793,542194476,475719899
nab,3.0795499090928424,0.6054995871180843,207.625,29.900000000000002,1210891,27468,0.00023728,0.078307,48719195,281380
blender,3.4273690002269386,1.07,243.0,45.2125,2142214,2533,0.06932,0.042776,43826089,27615
cactuBSSN,2.2329811440141736,3.5299999999999994,478.25,36.1875,7079696,1494394,2.9662e-05,0.00054509,67366781,18433652
perlbench,3.9507990648851448,0.08814997163925128,222.25,139.75,176306,239,0.047681,0.011662,37988429,2625
x264,3.7791857736086647,0.26437222569850166,243.625,196.625,528773,11056,0.0024977,0.030096,39720470,150571
xz,1.3049508606770084,5.148718646883512,479.75,263.25,10359137,6338685,0.0077038,0.00018217,115656495,73745771
gcc,3.469769627123223,0.46337287546832506,319.75,33.824999999999996,927261,443863,0.069578,0.0093333,43280855,5465492
roms,1.2041021564985848,7.854987263158209,437.25,178.875,15887539,3798788,0.14399,0.11992,125646435,44007640
xalancbmk,2.10383704885483,1.5874881516587678,309.0,33.0,3171183,2896378,0.00043263,0.069144,71328703,32305697
omnetpp,0.8920269565611489,9.174997275204358,486.625,227.5,18372974,8643182,0.060271,0.0020451,168366900,101529618
bwaves,0.34526484402055246,41.9,631.125,603.0,83291786,6737094,0.16438,0.30453,434870471,74374683

cc,0.1337536559806257,86.0,1210.0,1140.0,172087438,49382131,0.074161,0.0036658,1122824665,591489059
bc,1.0234248150070484,7.897497624326892,351.875,271.75,15800990,4763444,0.027701,0.014827,146647962,55616429
sssp,2.1172609786872494,2.408745445080687,432.25,141.125,4822675,1807640,0.047162,0.077035,70912952,19508604
tc,0.17878873679255886,41.00000000000001,1220.0,1220.0,82118827,78397546,0.25463,0.28117,839406629,847149305
pr,0.522199886103508,22.7,501.25,501.25,45491793,11372710,0.16855,0.33236,287479784,121490914
bfs,0.6335224086772477,17.0,450.375,450.375,34103981,11367324,0.19745,0.33563,236863164,119529743
