,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7501796488040084,18.99986841831894,663.625,331.0,38786187,2492927,0.1197,0.0047692,204790025,24864261
namd,3.6459104898571137,0.2369978902765785,247.375,26.6375,474289,140163,0.079449,0.0026041,41186474,1488033
fotonik3d,0.36931868290342246,26.6,652.375,582.625,53281510,23361096,0.0097304,0.0052028,406390492,225863868
cam4,1.723693361644318,3.7400000000000007,605.875,237.875,7513900,3040349,0.15865,0.0044345,87245052,29489963
deepsjeng,3.5182615494593374,0.279,240.75,65.5375,558269,218365,0.0018572,0.0,42660834,2161838
imagick,3.829820576323566,0.12811636880417868,591.0,27.5375,256521,14204,0.29919,0.0063115,39225326,142503
wrf,3.7584567764421224,0.258,307.0,35.3375,515967,151927,0.13007,0.0058974,40004770,1466476
parest,0.594983205611974,26.437033711128002,440.625,341.375,53043485,978389,0.23387,0.013097,252770302,9445386
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2924536041603742,27.699999999999996,778.375,480.75,55524258,41569326,0.05283,0.0057782,513227145,400520214
nab,3.0792997564317313,0.6056246128432791,207.625,29.900000000000002,1211615,26883,0.00024829,0.0058737,48733698,241065
blender,3.4226499069392355,1.0687396937573619,244.25,45.375,2144726,3435,0.069978,0.0053286,43930123,32560
cactuBSSN,2.240348123622182,3.5299999999999994,473.5,35.9875,7070660,1519921,3.9527e-05,0.00044179,67045425,14834551
perlbench,3.951211056179296,0.08814997163925128,220.375,138.375,176307,573,0.045985,0.0,37988195,5363
x264,3.781249424014113,0.2636203113848648,241.125,194.125,527692,15047,0.002456,0.0036454,39698558,164458
xz,1.3567896486877935,5.201175721974773,454.875,252.75,10479578,6246351,0.0067877,3.5207e-05,111408516,58975084
gcc,3.4050970792421174,0.5648583564167587,289.25,35.1375,1130496,338862,0.057954,0.0028565,44104260,3532431
roms,1.203283432734031,7.916240719252266,429.625,177.125,15962470,3825443,0.14638,0.0062047,125478955,36926832
xalancbmk,2.0611242106639094,1.7774894217207333,301.25,34.199999999999996,3557307,2879402,0.0010755,0.0080121,72847063,26902478
omnetpp,0.9270452901281994,9.198748810009517,461.125,216.875,18419870,8613665,0.060435,0.00031656,162026460,82213401
bwaves,0.3456449124866422,41.9,626.875,598.875,83325217,6770049,0.16467,0.0093359,434493613,66126448

cc,0.13849866270572217,85.83747270345029,1160.0,1090.0,171874436,49440279,0.074635,0.00041228,1084450929,498020023
bc,1.0454749025376198,7.89,339.625,262.25,15791344,4726638,0.027643,0.0015884,143570925,45282034
sssp,2.1196983725930494,2.463740496705525,420.625,140.5,4935933,1784895,0.043622,0.012884,70859295,16435086
tc,0.18525244010775668,41.00000000000001,1190.0,1190.0,82176976,78445731,0.25819,0.006417,810602082,750998114
pr,0.5129659636979453,22.7,493.375,493.375,45501679,11390194,0.17296,0.0074554,292716933,109676678
bfs,0.6244021146231887,17.0,440.0,440.0,34127647,11394202,0.20211,0.0060645,240485539,109392329
