,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

bwaves,0.6258722657642429,13.6,511.625,482.375,27282476,11937004,3.3971e-05,0.0040655,239918015,113501237
xz,2.628683262438242,1.1449781659388645,324.375,164.625,2288214,1721751,0.010682,0.00018294,57131748,16677076
gcc,0.8944208009982444,17.799999999999997,346.0,345.75,35600876,40373,0.32921,0.082627,167926098,417940
mcf,0.8150335792185279,17.410988537551997,606.625,440.75,35675616,2038031,0.012527,0.0021696,189017611,20318206
leela,3.983824909790727,0.011799999999999998,222.25,104.75,23520,0,0.15967,nan,37663038,0
xalancbmk,2.4093220732863094,1.9949748425682732,655.125,358.25,4008382,3699658,0.28567,0.013494,62488866,36990340
omnetpp,0.8319428398615947,10.600000000000001,464.5,364.75,21217337,9525282,0.063235,0.00036704,180463926,91803137
fotonik3d,0.5204985210415082,15.599999999999998,532.375,436.125,31295066,19451824,4.8787e-06,0.00085668,288532506,187033474
cam4,1.3839690022412614,4.878385591370128,586.0,270.0,9775186,7264608,0.22898,0.090404,108701789,77113858
pop2,2.018963962218504,3.2762352362261837,465.5,252.25,6594466,3078478,0.17609,0.014382,74640576,30386526
imagick,3.902699906472343,0.03910000000000001,234.5,234.5,78135,0,0.0,nan,38445966,0
x264,3.8483745786505983,0.1979962120970571,246.5,164.0,396087,10872,0.00037128,0.051688,38991637,158730
exchange2,3.9998999999999993,0.00014,180.0,180.0,280,0,0.17421,nan,37501272,0
perlbench,3.9653489816430243,0.0669,218.125,215.75,133856,0,0.039484,nan,37842722,0
roms,1.12001083449266,7.3599999999999985,629.25,629.25,14750757,5066980,0.050519,0.011983,134077568,48172653
nab,3.861105495523298,0.17012288713342713,218.0,84.26249999999999,340417,125419,0.035657,0.0093658,38921186,1177151
cactuBSSN,1.52598471880191,7.150000000000002,674.0,501.75,14329385,1860422,0.00015836,0.00075334,98507107,19022040
deepsjeng,3.513961296367872,0.27699999999999997,245.625,233.25,554449,260544,0.002128,0.0,42723280,2641254
lbm,0.3406124612733868,27.499999999999996,733.875,733.875,55068769,27544540,0.078422,0.0042303,440602791,267198888
wrf,0.7552374566380714,12.087408949011447,717.125,635.125,24125137,9624786,0.15601,0.0073694,198803575,93873070

cf,1.2199614474613802,2.2737397034596376,297.0,26.199999999999996,4548120,3574549,1.8924e-05,0.014514,123091707,33714760
bfs,1.1300496858689444,2.1,294.375,25.599999999999998,4196720,4196509,0.0,0.017103,132832719,39413334
bc,0.3765359809606604,21.0,703.875,138.625,41935232,28925609,0.21477,0.0070861,398807231,277762562
mis,1.1282868703686642,2.11,294.125,25.699999999999996,4211112,4210977,0.0,0.017992,133035462,39662495
pagerankdelta,0.5130423796238679,15.9,1022.5,157.75,31767848,15887429,0.21196,0.0055324,292828616,156444633
components,1.1294969600847067,2.11,294.0,25.687499999999996,4211104,4210949,0.0,0.017418,132964830,39652231
components-shortcut,1.1283118924358126,2.11,294.25,25.699999999999996,4211112,4210945,0.0,0.017991,133034234,39662007
pagerank,0.3098130752442236,44.8,735.375,236.875,89579364,5196542,0.021006,0.0052396,485421434,50396597
triangle,1.128774542298648,2.11,294.0,25.699999999999996,4211112,4210995,0.0,0.017437,132995647,39651582
bellmanford,0.5624326046803166,19.8,478.25,94.62500000000001,39556901,5430451,0.0722,0.00097164,267000836,52654523
bfs-bitvector,1.1302997236543717,2.1,294.125,25.599999999999998,4196648,4196412,0.0,0.017411,132768815,39486114
bfscc,1.128774542298648,2.11,294.0,25.699999999999996,4211112,4210998,0.0,0.017438,132994868,39651263
radii,1.1289211208773064,2.11,294.125,25.699999999999996,4211112,4210926,0.0,0.0171,133041070,39651802

facesim,0.8429164799764004,10.587395957193818,361.875,52.475,21156924,4030532,0.097539,0.0088492,178273084,38899139
fluidanimate,1.1279126623606153,4.93,619.75,48.125,9860655,5162621,0.041276,0.00020997,133199245,49841654
raytrace,1.1498737712692566,3.420000000000001,330.0,30.300000000000004,6847187,5254799,0.029297,0.014221,130595360,49969980
streamcluster,0.9573491712208604,12.3,289.625,49.37499999999999,24505352,63444,0.25429,0.045532,156941300,606571
canneal,1.2037454619494357,4.784994775339603,385.875,36.425000000000004,9567783,3428348,0.025743,0.00058953,124757919,31338999
