,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7122000718761652,19.88552408187183,663.875,346.125,41168569,2671090,0.11778,0.0030486,217999869,26630872
namd,3.64438514753283,0.23687033507537,243.875,26.512499999999996,474031,148341,0.076119,0.0015769,41217165,1557777
fotonik3d,0.36954736115106285,26.6,653.5,582.5,53195487,23337454,0.0096092,0.004946,406272372,225326312
cam4,1.7238725296973525,3.75,605.25,237.75,7510893,3043555,0.15857,0.0031187,87154526,29513873
deepsjeng,3.514774210911148,0.28012461059190036,242.5,66.08749999999999,560700,230925,0.0019027,0.0,42697876,2264255
imagick,3.831327420011405,0.12844092176900346,588.0,27.512499999999996,257000,13720,0.29718,0.0050662,39251514,133187
wrf,3.728138437618216,0.27686919352659894,307.125,36.475,553403,146898,0.12942,0.0075056,40278746,1428839
parest,0.5841639216402965,27.036214537017393,438.375,346.5,54343701,916657,0.23478,0.0072163,258116903,8839531
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.29108362330777315,27.8,780.5,483.125,55685651,41908474,0.052684,0.0049915,515781502,404897420
nab,3.080999783365194,0.6039995860918644,207.25,29.8625,1207750,21840,0.00022809,0.0028852,48702795,192435
blender,3.4336170434373856,1.052482269503546,241.875,44.662499999999994,2106261,2269,0.067997,0.0030391,43753590,19614
cactuBSSN,2.232532812565764,3.55,468.75,35.91250000000001,7107286,1490363,1.7305e-05,0.00033808,67286338,14499038
perlbench,3.95087326161923,0.08820000000000001,221.125,138.875,176326,652,0.046032,0.0,37997448,6318
x264,3.7811743073674178,0.2629980988455728,242.25,194.75,526246,15880,0.0024796,0.0031293,39694062,178099
xz,1.4334404677728259,4.846203859784427,455.375,236.875,9736093,5853197,0.0041063,1.7085e-05,105182473,54994186
gcc,3.456924606776819,0.4821232198846968,308.25,33.8375,964391,406261,0.06463,0.00056607,43406792,3960815
roms,1.1935858770669208,7.906240707508756,430.75,177.625,15917034,3980825,0.14664,0.0041897,126327030,38263156
xalancbmk,2.071061863936628,1.72,299.875,33.675000000000004,3444424,2856780,0.00075539,0.0041739,72491244,26404471
omnetpp,0.9111732859847783,9.3512488313076,462.375,220.625,18713330,8801937,0.060204,0.00020737,164734182,83898800
bwaves,0.3454924146711655,41.9,626.0,597.875,83267312,6737695,0.15804,0.0048822,434606539,65761182

cc,0.13897986045039767,85.21248717572915,1150.0,1070.0,170649836,49339276,0.075466,0.00027504,1080764537,496618034
bc,1.0415748901703572,7.921248620526563,345.0,267.375,15853339,4797097,0.027141,0.0010156,144112783,45718806
sssp,2.098685027516797,2.5737409024745275,409.25,142.5,5158724,1774250,0.042462,0.0015425,71588504,15975657
tc,0.18553370434378066,41.00000000000001,1183.75,1183.75,82114343,78444575,0.25691,0.0036607,808848920,739219806
pr,0.513154833452736,22.7,493.125,493.125,45478054,11352268,0.17258,0.0068899,292457430,109334550
bfs,0.6244359625938248,17.0,439.75,439.75,34142213,11399303,0.20219,0.0062152,240579605,109173869
