BASELINE_CP_ZEN,SCAN_1,SCAN_2,SCAN_4,SCAN_8
roms,1.0,1.035,1.048,1.054,1.036
bwaves,1.0,0.978,0.983,1.022,1.012
xz,1.0,1.083,1.071,1.037,1.017
mcf,1.0,1.025,1.029,1.037,1.036
omnetpp,1.0,1.100,1.098,1.095,1.065
lbm,1.0,1.127,1.168,1.190,1.106
cactuBSSN,1.0,0.974,0.991,0.969,0.951
parest,1.0,1.003,1.002,1.006,1.005
cam4,1.0,1.042,1.046,1.044,1.026
blender,1.0,1.001,1.002,1.000,1.000
xalancbmk,1.0,0.973,0.915,0.882,0.877
fotonik3d,1.0,1.117,1.135,1.165,1.119
gmean_mtf/spec2017,1.0,1.037,1.039,1.039,1.019
tc,1.0,1.289,1.350,1.363,1.283
bfs,1.0,1.247,1.292,1.312,1.244
cc,1.0,1.302,1.355,1.384,1.302
sssp,1.0,1.290,1.356,1.373,1.294
bc,1.0,1.099,1.171,1.206,1.126
pr,1.0,1.300,1.376,1.401,1.318
gmean_mtf/gap,1.0,1.252,1.315,1.338,1.259
gmean,1.0,1.104,1.123,1.130,1.093
