,BASELINE_OP_MOP4,BASELINE_CP_ZEN

mcf,1.000,0.942
fotonik3d,1.000,1.042
cam4,1.000,0.997
parest,1.000,0.983
lbm,1.000,1.014
blender,1.000,0.995
cactuBSSN,1.000,0.877
xz,1.000,1.042
roms,1.000,1.001
xalancbmk,1.000,1.106
omnetpp,1.000,1.027
bwaves,1.000,0.887
gmean_mtf/spec2017,1.000,0.991

cc,1.000,1.017
bc,1.000,1.052
sssp,1.000,1.092
tc,1.000,1.026
pr,1.000,1.015
bfs,1.000,1.002
gmean_mtf/gap,1.000,1.033

facesim,1.000,0.971
raytrace,1.000,1.036
canneal,1.000,1.052
streamcluster,1.000,0.879
gmean_mtf/parsec,1.000,0.982

pagerank,1.000,0.992
bellmanford,1.000,0.989
bc,1.000,1.074
bfscc,1.000,1.049
mis,1.000,1.051
gmean_mtf/ligra,1.000,1.030

gmean,1.000,1.006
