,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

bwaves,0.5922933715131531,13.6,536.0,505.25,27284944,11922838,0.0,0.0,253572563,156179504
xz,2.6595485936607233,1.134977973568282,313.375,158.125,2269825,1749072,0.0,0.0,56458040,22764923
gcc,0.8179473248006878,17.799999999999997,383.125,382.875,35579039,41307,0.0,0.0,183504371,513177
mcf,0.8068558856348135,17.445769686041118,611.375,445.375,36273735,2012990,0.0,0.0,193949443,23926409
leela,3.983474847030912,0.011799999999999998,241.25,112.875,23520,0,0.0,nan,37663785,0
xalancbmk,2.2987678514925096,1.9887444794952682,766.125,416.125,3994516,3705202,0.0,0.0,65466072,47132445
omnetpp,0.7808383622392171,10.5,490.625,382.25,21057675,9278311,0.0,0.0,192240073,111017576
fotonik3d,0.49020244934851454,15.749841269841271,566.75,467.625,31526410,19444302,0.0,0.0,306228482,230984789
cam4,1.2672943087565631,4.881839859527919,682.0,312.875,9907195,7469741,0.0,0.0,120220376,93683051
pop2,1.8765262739244661,3.276235236226184,532.625,287.25,6570041,3086418,0.0,0.0,80064737,38841647
imagick,3.902699906472343,0.03910000000000001,234.5,234.5,78135,0,0.0,nan,38445966,0
x264,3.850211306059135,0.1979962120970571,247.875,164.875,396539,10943,0.0,0.0,38982429,387512
exchange2,3.9998874997265492,0.00014,236.875,236.875,280,0,0.0,nan,37501595,0
perlbench,3.962548861584923,0.0669,227.875,225.0,133857,32,0.0,0.0,37872879,1220
roms,1.08925951140357,7.3599999999999985,683.0,683.0,14769133,5053204,0.0,0.0,138000792,68295219
nab,3.865932473060028,0.1698728848356493,216.75,83.8,339945,126214,0.0,0.0,38854826,3120979
cactuBSSN,1.546647172038124,7.150000000000002,661.375,492.375,14323765,1858240,0.0,0.0,97153678,26486949
deepsjeng,3.5153984410027403,0.27699999999999997,246.25,233.625,553987,246175,0.0,0.0,42706335,8470573
lbm,0.3193787293801882,27.499999999999996,799.625,799.625,55062433,27531703,0.0,0.0,469838679,328246001
wrf,0.7230024228721404,11.837302423603793,786.125,684.0,23682474,9278292,0.0,0.0,207528198,114477286

cf,1.299336608263686,2.271245200219419,269.0,25.5,4548120,3552772,0.0,0.0,115566671,49225855
bfs,1.2180358329396954,2.1,264.0,25.0,4196720,4196720,0.0,0.0,123252110,55014620
bc,0.336832143570228,21.0,821.375,159.0,41935232,28954054,0.0,0.0,445731029,361358524
mis,1.2141366428158782,2.11,264.875,25.0,4211112,4211112,0.0,0.0,123638243,55170030
pagerankdelta,0.4759888095066779,15.9,1180.0,179.0,31767848,15875036,0.0,0.0,315875399,199564342
components,1.2147612389410731,2.11,264.25,25.0,4211104,4211104,0.0,0.0,123584245,55265188
components-shortcut,1.214136653112193,2.11,264.875,25.0,4211112,4211112,0.0,0.0,123640318,55170485
pagerank,0.30340965242480816,44.8,740.625,238.5,89631128,5202322,0.0,0.0,494900006,63066070
triangle,1.2151360597984058,2.11,264.125,25.0,4211112,4211112,0.0,0.0,123563725,55185251
bellmanford,0.5422920991512552,19.8,491.875,96.85,39565429,5378244,0.0,0.0,276787517,65089204
bfs-bitvector,1.2185104608622512,2.1,264.0,25.0,4196648,4196648,0.0,0.0,123227406,55109051
bfscc,1.2141366428158782,2.11,264.875,25.0125,4211112,4211112,0.0,0.0,123638565,55172124
radii,1.2141366428158782,2.11,264.875,25.0125,4211112,4211112,0.0,0.0,123638565,55172124

facesim,0.8014551298610328,10.600000000000001,394.875,55.7125,21226033,3944960,0.0,0.0,187430620,50316974
fluidanimate,1.0832987700568046,4.93,657.5,49.9375,9861806,5159248,0.0,0.0,138579268,62001476
raytrace,1.0854865211030542,3.4299999999999997,354.0,31.099999999999998,6854291,5281480,0.0,0.0,138332213,68362358
streamcluster,0.8505845087160939,12.3,342.125,55.10000000000001,24506682,64936,0.0,0.0,176506862,830787
canneal,1.164035300194999,4.908747768426423,394.25,37.2125,9820470,3404892,0.0,0.0,129063896,40670518
