,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

bwaves,0.6007318068235816,13.63732845379689,527.625,498.0,27346249,11930782,2.7461e-05,0.035146,250134249,149041225
xz,2.7137100085005055,1.0674823529411768,299.75,143.75,2131437,1652023,0.01172,0.00018915,55343898,22554119
gcc,0.8974798207309197,17.799999999999997,346.25,345.375,35573571,41362,0.33675,0.16474,167272772,484245
mcf,0.7389437722915534,19.3117930482227,614.0,492.75,39890740,2108065,0.01186,0.0055158,210233399,24975807
leela,3.983824909790727,0.011799999999999998,222.25,104.75,23520,0,0.15967,nan,37663038,0
xalancbmk,2.4241389600525722,1.9287443070917367,687.875,363.625,3868521,3625848,0.29514,0.045706,62060855,44782637
omnetpp,0.8171698133003368,10.4,467.625,360.625,20806589,8972312,0.064439,0.0014666,183657114,109573206
fotonik3d,0.4697299392222549,17.300000000000004,575.75,518.875,34569610,19440322,6.9884e-06,0.0014914,319490017,228880996
cam4,1.6571617932175513,4.21106853548525,482.375,196.875,8762273,5257315,0.24209,0.12935,94269939,59990527
pop2,1.984765904715347,3.381224500550004,460.375,257.125,6864997,3148542,0.18004,0.061722,76383435,37390247
imagick,3.902699906472343,0.03910000000000001,234.5,234.5,78135,0,0.0,nan,38445966,0
x264,3.8526621873821605,0.19624648947330697,246.125,162.375,392770,13720,0.00037037,0.00024274,38948132,470241
exchange2,3.9998999999999993,0.00014,180.0,180.0,280,0,0.17421,nan,37501272,0
perlbench,3.965261434373286,0.0669,218.75,216.125,133856,31,0.039709,0.0,37845291,1122
roms,1.1136209275597264,7.3599999999999985,656.375,656.375,14766155,5052511,0.05072,0.12869,134947598,63693413
nab,3.866383670003791,0.16762359970126964,218.375,83.55,335602,132265,0.039423,0.025388,38854022,2865194
cactuBSSN,1.5422691643675,7.221241559334863,651.0,489.25,14479156,1846024,0.00016295,0.0019038,97490171,25745454
deepsjeng,3.5192747019009047,0.276,245.5,232.75,552713,244684,0.0022122,8.1738e-06,42637318,8424910
lbm,0.3288311960923415,27.499999999999996,773.625,773.625,55064101,27533084,0.077019,0.063011,456352109,318653248
wrf,0.7692752833849568,11.624839400428266,715.25,611.625,23280867,8896856,0.1528,0.057473,195287762,104442724

cf,1.30744733654271,2.272491767288694,265.875,25.5,4548120,3552951,2.1268e-05,0.064292,114868595,47055901
bfs,1.2243498203985625,2.1,262.0,25.0,4196720,4196720,6.3542e-07,0.064582,122550024,52823434
bc,0.367299086389902,21.0,724.5,142.0,41935232,28953555,0.21281,0.2895,408859643,314463486
mis,1.2222619501887642,2.11,262.0,25.0,4211112,4211112,0.0,0.06505,122804513,53199233
pagerankdelta,0.5048387908173281,15.9,1060.0,162.875,31767848,15873982,0.21141,0.31504,297910016,175968444
components,1.2223242120364195,2.11,262.0,25.0,4211104,4211104,0.0,0.06517,122808726,53346454
components-shortcut,1.222249480696859,2.11,262.0,25.0,4211112,4211112,0.0,0.065051,122804802,53201103
pagerank,0.31702370614356135,43.14994206257242,719.125,224.25,86294744,5200877,0.021841,0.11812,473673818,58883055
triangle,1.2221122966333666,2.11,262.0,25.0,4211112,4211112,0.0,0.065224,122810655,53236622
bellmanford,0.5708690983739417,19.1,472.875,91.225,38211389,5335477,0.074555,0.0082922,263221023,64867166
bfs-bitvector,1.2246748351777734,2.1,262.0,25.0,4196648,4196648,0.0,0.064589,122541695,53162115
bfscc,1.2222494806968591,2.11,262.0,25.0,4211112,4211112,0.0,0.065046,122804230,53196192
radii,1.2222494806968591,2.11,262.0,25.0,4211112,4211112,0.0,0.065046,122804230,53196192

facesim,0.8910055974723877,9.773650187831457,330.5,47.24999999999999,19546927,3192126,0.098081,0.080303,168770891,39426999
fluidanimate,1.0875946972757506,4.95249621785174,651.625,49.79999999999999,9907661,5167785,0.040881,0.0010924,138070355,62822860
raytrace,1.129361363726386,3.4299999999999997,333.5,30.400000000000002,6854947,5268109,0.029114,0.20856,132949192,57681758
streamcluster,0.9500469806338439,12.3,291.0,49.725,24687706,52538,0.25533,0.18237,158175826,610936
canneal,1.2208546398591498,4.32374458249061,370.5,34.199999999999996,8648419,3389013,0.025384,0.001825,123077658,39205838
