,BASELINE,DA2CACHE,8WAYBASE,32WAYDA2

bwaves,1.000,1.000,1.000,1.000
xz,1.000,1.020,1.030,0.996
gcc,1.000,1.000,1.000,1.000
mcf,1.000,1.003,1.017,0.995
xalancbmk,1.000,1.000,1.000,1.000
omnetpp,1.000,1.002,1.002,0.993
fotonik3d,1.000,1.011,1.025,0.987
cam4,1.000,1.053,1.052,1.011
pop2,1.000,1.008,1.008,1.003
roms,1.000,1.000,1.000,1.000
cactuBSSN,1.000,1.005,1.004,1.000
lbm,1.000,1.000,1.000,1.000
wrf,1.000,0.998,0.996,1.001
gmean_imat/spec,1.000,1.008,1.010,0.999

cf,1.000,1.000,1.000,1.000
bfs,1.000,1.000,1.000,1.000
bc,1.000,1.000,1.000,1.000
mis,1.000,1.000,1.000,1.000
pagerankdelta,1.000,1.000,1.000,1.000
components,1.000,1.000,1.000,1.000
components-shortcut,1.000,1.000,1.000,1.000
pagerank,1.000,1.001,1.001,1.000
triangle,1.000,1.000,1.000,1.000
bellmanford,1.000,1.000,1.000,1.000
bfs-bitvector,1.000,1.000,1.000,1.000
bfscc,1.000,1.000,1.000,1.000
radii,1.000,1.000,1.000,1.000
gmean_imat/ligra,1.000,1.000,1.000,1.000

gmean,1.000,1.004,1.005,0.999
