,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.954736752234101,0.0444,nan,0.0,280.75,20.687499999999996
mcf,0.512725258472694,27.21172292251679,0.82651,0.071787,697.0,440.25
namd,3.686544250449477,0.26300000000000007,0.88028,0.013444,227.0,26.912499999999998
fotonik3d,0.3865542775399214,25.3,1.3408,0.25238,559.0,555.125
cam4,2.4244051329371277,1.5474553749219537,1.1425,0.23399,624.875,91.5
deepsjeng,3.5713706444350044,0.286,0.83329,0.024728,218.875,61.4625
imagick,3.70368597057292,0.3058746415403524,0.8997,0.0025646,625.5,38.900000000000006
wrf,3.757128039287595,0.3037460975394089,0.91691,0.012734,260.375,35.8125
parest,0.6929070565447647,22.024687272144337,1.5301,0.014267,399.625,260.75
leela,3.9338736250926263,0.0439,nan,0.0,294.625,23.425
lbm,0.2571785664315388,27.949910554561722,2.1042,0.43946,795.375,485.625
nab,3.166498404046628,0.6283448380752796,0.76835,0.0046784,193.875,29.5875
blender,3.3795738926076884,1.0662279670975323,0.80613,0.0014845,244.75,45.8125
cactuBSSN,1.5811971999678316,3.6324605889277284,2.0827,0.15774,876.5,51.1125
perlbench,3.9523601755405116,0.08119999999999998,nan,0.0,212.0,135.125
x264,3.851285614378078,0.22300000000000003,0.84984,0.00046448,220.75,196.125
xz,1.3806754601725713,5.018727877163187,1.5696,0.32309,466.625,246.375
gcc,3.443498897996652,0.6121231848744989,0.88215,0.13049,259.875,34.125
roms,1.0931746095543982,7.949981132030692,1.4382,0.20191,555.125,320.125
xalancbmk,1.9205048562027733,1.937477444008067,1.1378,0.32135,304.875,39.387499999999996
omnetpp,0.8123895593515399,9.908738799421496,1.6139,0.29279,483.25,241.25
bwaves,0.2628021360439881,41.48747358889224,1.4285,0.054614,864.625,801.25

cc,0.11736031408723006,83.49997005984805,2.365,0.28603,235.375,224.875
bc,1.2497975125704708,6.634996232102487,1.0409,0.14364,272.125,223.125
sssp,2.4701573614469927,1.9862381852551985,0.93604,0.18887,242.25,91.72500000000001
tc,0.14172372002417533,41.7,2.8892,0.52397,71.7375,71.7375
pr,0.46344240024912753,22.7,1.3878,0.21104,567.25,567.25
bfs,0.5901945162228439,17.0,1.4828,0.26977,488.25,488.25
