,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.954736752234101,0.0444,nan,0.0,280.75,20.687499999999996
mcf,0.5382233510959077,25.662310447087705,0.81279,0.071129,710.25,423.75
namd,3.6868729626308805,0.26300000000000007,0.87529,0.012895,226.75,26.9
fotonik3d,0.38425737043126057,25.400000000000006,1.421,0.25295,560.5,559.75
cam4,2.366582347280117,1.5399675317830113,1.185,0.24376,651.0,94.28750000000001
deepsjeng,3.573445408399342,0.286,0.83012,0.024238,217.75,61.225
imagick,3.695486407535745,0.3116226408399705,0.91807,0.0031101,633.0,39.4875
wrf,3.7744046787621786,0.29499999999999993,0.87728,0.0063089,257.0,35.162499999999994
parest,0.5820025846031274,26.349338003383373,0.82788,0.0252,458.125,352.375
leela,3.9338736250926263,0.0439,nan,0.0,294.625,23.425
lbm,0.25376332775829413,28.2,2.1201,0.4419,798.375,491.75
nab,3.1529955176446007,0.6347493091196209,0.78692,0.031379,195.375,29.7875
blender,3.365067867423966,1.1100000000000003,0.83996,0.0038846,248.875,47.375
cactuBSSN,1.7389454901678798,3.55,1.5084,0.10564,805.5,47.837500000000006
perlbench,3.9523601755405116,0.08119999999999998,nan,0.0,212.0,135.125
x264,3.849423943046796,0.22300000000000003,0.85573,0.00044443,218.125,193.75
xz,1.2979704397337928,5.348710455064465,1.5984,0.32662,466.125,260.75
gcc,3.403546722985833,0.6191228033411796,0.8933,0.17213,267.25,34.7375
roms,1.152493754631755,7.462497489119517,1.4572,0.20363,556.375,302.25
xalancbmk,1.896546152892257,1.9424903722721436,1.1792,0.32898,311.125,39.887499999999996
omnetpp,0.861889149565323,9.25,1.6037,0.2968,484.25,226.875
bwaves,0.260389803583664,42.3,1.6145,0.055044,863.5,815.5

cc,0.11716935768251363,83.12491725247808,2.3737,0.28317,218.25,207.75
bc,1.2715732995613658,6.691248367232694,1.0323,0.13036,265.875,219.5
sssp,2.54976053719514,1.6987435328898741,0.93127,0.2139,243.375,81.53750000000001
tc,0.14073999413789973,41.7,2.924,0.49855,923.625,923.625
pr,0.46398229199266394,22.7,1.5122,0.21259,567.5,567.5
bfs,0.591176139665821,17.0,1.6336,0.2703,489.75,489.75

pagerankdelta,1.2350612921728166,5.949999999999999,1.7114,0.30104,317.0,317.0
bfs,1.626099821623692,2.3200000000000003,0.97384,0.35344,232.125,232.125
pagerank,0.2783123415740119,55.762457950213054,0.84243,0.019107,759.375,699.75
radii,1.6116623185395753,2.3399999999999994,0.9754,0.35143,234.0,234.0
bellmanford,0.46954668429877566,29.100000000000005,0.85126,0.078677,472.125,421.0
bc,0.2469473679128502,27.499999999999996,2.4472,0.45757,923.5,923.5
bfscc,1.6120122201749858,2.3399999999999994,0.9746,0.35091,233.625,233.625
mis,1.6098615755535384,2.3399999999999994,0.97545,0.35164,234.0,234.0
cf,1.9408245418659837,1.9699999999999998,0.97284,0.35382,210.0,210.0
bfs-bitvector,1.622412399162365,2.3200000000000003,0.97522,0.35271,233.0,233.0
components-shortcut,1.6113870571378406,2.3399999999999994,0.9752,0.3529,233.75,233.75
triangle,1.6046246016184416,2.3399999999999994,0.97577,0.35135,235.0,235.0
components,1.6116623185395753,2.3399999999999994,0.9754,0.35143,234.0,234.0
