,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.954736752234101,0.0444,nan,0.0,280.75,20.687499999999996
mcf,0.5382233510959077,25.662310447087705,0.81279,0.071129,710.25,423.75
namd,3.6868729626308805,0.26300000000000007,0.87529,0.012895,226.75,26.9
fotonik3d,0.38425737043126057,25.400000000000006,1.421,0.25295,560.5,559.75
cam4,2.366582347280117,1.5399675317830113,1.185,0.24376,651.0,94.28750000000001
deepsjeng,3.573445408399342,0.286,0.83012,0.024238,217.75,61.225
imagick,3.695486407535745,0.3116226408399705,0.91807,0.0031101,633.0,39.4875
wrf,3.7744046787621786,0.29499999999999993,0.87728,0.0063089,257.0,35.162499999999994
parest,0.5820025846031274,26.349338003383373,0.82788,0.0252,458.125,352.375
leela,3.9338736250926263,0.0439,nan,0.0,294.625,23.425
lbm,0.25376332775829413,28.2,2.1201,0.4419,798.375,491.75
nab,3.1529955176446007,0.6347493091196209,0.78692,0.031379,195.375,29.7875
blender,3.365067867423966,1.1100000000000003,0.83996,0.0038846,248.875,47.375
cactuBSSN,1.7389454901678798,3.55,1.5084,0.10564,805.5,47.837500000000006
perlbench,3.9523601755405116,0.08119999999999998,nan,0.0,212.0,135.125
x264,3.849423943046796,0.22300000000000003,0.85573,0.00044443,218.125,193.75
xz,1.2979704397337928,5.348710455064465,1.5984,0.32662,466.125,260.75
gcc,3.403546722985833,0.6191228033411796,0.8933,0.17213,267.25,34.7375
roms,1.152493754631755,7.462497489119517,1.4572,0.20363,556.375,302.25
xalancbmk,1.896546152892257,1.9424903722721436,1.1792,0.32898,311.125,39.887499999999996
omnetpp,0.861889149565323,9.25,1.6037,0.2968,484.25,226.875
bwaves,0.260389803583664,42.3,1.6145,0.055044,863.5,815.5
