,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.954736752234101,0.0444,nan,0.0,280.75,20.687499999999996
mcf,0.51479467323009,27.11106541106994,0.81969,0.072374,698.0,439.25
namd,3.685433382634627,0.26300000000000007,0.88153,0.013732,227.875,26.924999999999997
fotonik3d,0.3864246554360306,25.3,1.3395,0.25233,558.625,555.5
cam4,2.4297681754220046,1.5487268001039771,1.1423,0.23308,627.375,91.825
deepsjeng,3.574683646816583,0.286,0.83431,0.024025,218.125,61.275
imagick,3.702836660619397,0.3058746415403524,0.9248,0.0023307,632.625,39.1
wrf,3.7615800368574024,0.3012427395288194,0.93143,0.0092834,260.5,35.724999999999994
parest,0.582478360992112,26.568837270863575,0.8443,0.020316,443.5,343.75
leela,3.9338736250926263,0.0439,nan,0.0,294.625,23.425
lbm,0.2575447497977777,27.899999999999995,2.1035,0.43941,795.625,485.125
nab,3.16617308211331,0.6224987971130713,0.78585,0.0039531,194.625,29.525
blender,3.395698960800996,1.0512396694214876,0.80876,0.0013596,243.0,45.25
cactuBSSN,1.6072641901731404,3.618740069933604,2.0598,0.15321,859.75,50.362500000000004
perlbench,3.9523601755405116,0.08119999999999998,nan,0.0,212.0,135.125
x264,3.851285614378078,0.22300000000000003,0.84935,0.00046202,220.75,196.125
xz,1.375370344869594,5.1037011691158325,1.5437,0.31786,466.75,250.0
gcc,3.4432642349012337,0.6041206742428527,0.88217,0.1256,265.125,34.25
roms,1.1054257509278405,7.893718535666311,1.4351,0.20242,551.25,315.75
xalancbmk,1.9090837064492119,1.9287443070917367,1.1567,0.32825,306.625,39.400000000000006
omnetpp,0.8155378552456739,9.873745092028793,1.6137,0.29329,481.25,239.375
bwaves,0.2630485587964333,41.44993968636912,1.4295,0.054394,863.5,799.875

cc,0.11504087313946072,86.18748729859196,2.3604,0.27835,244.625,240.125
bc,1.2460742066632755,6.636246466930468,1.0261,0.14792,269.5,220.75
sssp,2.4686973125662424,1.9812445003142674,0.93375,0.18881,244.0,92.075
tc,0.14174249193321056,41.7,2.8895,0.52393,72.23750000000001,72.23750000000001
pr,0.46354729688745705,22.7,1.3909,0.21067,567.125,567.125
bfs,0.5905758912054777,17.0,1.4865,0.26919,488.75,488.625
