,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.9535861536804022,0.0444,nan,0.0,285.5,20.6875
mcf,0.5573207748694468,25.637212785018306,2.7947,0.059457,702.625,418.625
namd,3.686907854723213,0.26300000000000007,0.88237,0.010177,227.0,26.900000000000002
fotonik3d,0.4232837839323479,25.400000000000006,4.0282,0.22973,499.0,498.25
cam4,2.5437816914394715,1.5462187665445182,1.2055,0.22296,1720.0,221.125
deepsjeng,3.5742222841456224,0.286,0.82858,0.019221,220.375,61.7375
imagick,3.6955847389284244,0.3129871584131659,1.1683,0.0037469,675.5,40.9375
wrf,3.7729024908222026,0.29499999999999993,0.95903,0.0057105,257.0,35.1625
parest,0.591390593579974,26.399527584837898,3.5106,0.020068,450.5,346.875
leela,3.9317610787737363,0.0439,nan,0.0,292.25,23.375
lbm,0.2970486536148982,28.2,4.1087,0.40104,898.75,552.5
nab,3.1582973492881647,0.629749305515329,0.78091,0.015935,195.0,29.662499999999994
blender,3.372371600003202,1.1100000000000003,0.82596,0.0012348,248.375,47.325
cactuBSSN,1.6226399587270417,3.55,4.1008,0.19647,954.25,53.1
perlbench,3.9538464831360236,0.08119999999999998,nan,0.0,208.875,133.5
x264,3.8533100325245195,0.22300000000000003,0.94591,4.9656e-05,217.5,193.375
xz,1.3385407347688096,5.292468105010731,2.2931,0.30657,434.0,241.125
gcc,3.43212160371328,0.6021202547482303,0.91319,0.12882,272.5,34.6375
roms,1.2661790107192419,7.30749743238617,2.8468,0.19275,529.375,282.5
xalancbmk,1.9848699686739502,1.9437379576107898,1.1076,0.30619,281.0,37.825
omnetpp,0.8992416787809671,9.278748820277741,3.0591,0.26848,446.875,210.625
bwaves,0.2828698644131706,42.9,3.7298,0.047775,822.125,777.375
