,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.954736752234101,0.0444,nan,0.0,280.75,20.687499999999996
mcf,0.5079929143321837,27.23732186453668,1.9124,0.07769,709.125,447.875
namd,3.685369235865585,0.26300000000000007,0.88048,0.012688,228.125,26.962499999999995
fotonik3d,0.36607928964063924,25.400000000000006,2.0931,0.28204,588.5,587.375
cam4,2.341895143638006,1.5537187323973047,1.2417,0.23985,658.375,95.725
deepsjeng,3.5783160973118604,0.286,0.83426,0.018767,217.75,61.237500000000004
imagick,3.696010723491507,0.3063734166302443,1.4238,0.0033014,643.0,39.474999999999994
wrf,3.755038858483298,0.3024950534751307,0.96194,0.012597,264.75,36.050000000000004
parest,0.5869866150058055,26.39368871133704,1.8625,0.019138,441.5,340.375
leela,3.9338736250926263,0.0439,nan,0.0,294.625,23.425
lbm,0.24779728662543096,28.3,2.2557,0.45125,816.25,504.75
nab,3.170736354947123,0.621,0.773,0.001163,193.75,29.462500000000002
blender,3.3898687864482078,1.0487394957983194,0.81873,0.00074461,245.0,45.425000000000004
cactuBSSN,1.6163912399961466,3.5699929971576703,2.2341,0.16487,881.75,50.7125
perlbench,3.9523601755405116,0.08119999999999998,nan,0.0,212.0,135.125
x264,3.8507358929527933,0.22300000000000003,0.88001,7.8885e-05,219.875,195.625
xz,1.337909655758741,4.763708325904365,1.7604,0.35917,492.0,247.125
gcc,3.453771970870026,0.5978735610707582,0.90288,0.11186,265.5,34.150000000000006
roms,1.072886690228988,7.612494251250475,2.0422,0.23893,583.25,322.375
xalancbmk,1.9138351876709916,1.9212443292287749,1.1668,0.32845,309.375,39.550000000000004
omnetpp,0.778541253943097,9.738743743889469,1.9609,0.3268,511.25,250.375
bwaves,0.2596332558136155,41.4,2.416,0.063226,868.375,803.75

cc,0.12021090911561631,78.18739012048502,2.4179,0.29695,192.625,173.875
bc,1.2187453625819205,6.5600000000000005,1.6455,0.1734,275.25,223.125
sssp,2.403556639373077,1.97623812539582,0.96216,0.22489,250.625,94.025
tc,0.14012124653212574,41.7,2.9273,0.49921,925.25,925.25
pr,0.43502735702785694,22.7,2.2052,0.2553,608.375,608.375
bfs,0.5573006054747552,17.0,2.1335,0.31278,519.875,519.875
