,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.954736752234101,0.0444,nan,0.0,280.75,20.687499999999996
mcf,0.6047202113778989,25.637212785018306,nan,0.0,654.625,390.875
namd,3.6873330560396895,0.26300000000000007,nan,0.0,226.625,26.912499999999998
fotonik3d,0.5826831113218621,25.400000000000006,nan,0.0,361.625,361.375
cam4,2.890499182089224,1.5473418837165172,nan,0.0,442.125,69.89999999999999
deepsjeng,3.5815860962227855,0.286,nan,0.0,217.875,61.25
imagick,3.704186164655038,0.3122437590787456,nan,0.0,612.75,38.887499999999996
wrf,3.7798123692205876,0.29499999999999993,nan,0.0,251.0,34.775
parest,0.6072821848682277,26.33674918843482,nan,0.0,445.75,342.75
leela,3.9338736250926263,0.0439,nan,0.0,294.625,23.425
lbm,0.5659860883959938,28.2,nan,0.0,391.25,245.0
nab,3.1663494150349263,0.6294984104875656,nan,0.0,193.75,29.599999999999998
blender,3.375919027011305,1.108740068104427,nan,0.0,246.5,47.025
cactuBSSN,1.8726196746024641,3.55,nan,0.0,712.75,44.55
perlbench,3.9523601755405116,0.08119999999999998,nan,0.0,212.0,135.125
x264,3.8507108123086384,0.22300000000000003,nan,0.0,219.0,194.625
xz,1.9822693220751193,5.297482292884871,nan,0.0,261.375,149.125
gcc,3.5137348582268757,0.6018706668871987,nan,0.0,245.5,33.0375
roms,1.5758963237275652,7.308748501968841,nan,0.0,403.0,217.625
xalancbmk,2.8088827773856497,1.9399999999999997,nan,0.0,188.625,31.5125
omnetpp,1.3406406704466407,9.278748820277741,nan,0.0,297.5,144.0
bwaves,0.2823619956719004,42.3,nan,0.0,816.0,771.125

cc,0.2007584263584455,80.58739339189938,nan,0.0,38.4125,36.88750000000001
bc,1.5141864044184732,6.660000000000001,nan,0.0,231.0,190.625
sssp,2.839998337469704,1.656235827664399,nan,0.0,206.375,70.1875
tc,0.3957349268481343,41.7,nan,0.0,550.5,550.5
pr,0.6795860160130185,22.7,nan,0.0,404.75,404.75
bfs,0.9218110462909587,17.0,nan,0.0,329.0,329.0

pagerankdelta,1.8742480604604188,5.949999999999999,nan,0.0,211.875,211.875
bfs,2.3308996204333914,2.3200000000000003,nan,0.0,152.0,152.0
pagerank,0.28627199830685884,55.72496638278798,nan,0.0,742.875,684.25
radii,2.346537461710562,2.3399999999999994,nan,0.0,150.625,150.625
bellmanford,0.5327698588600964,29.100000000000005,nan,0.0,420.875,375.25
bc,0.5949896189769535,27.499999999999996,nan,0.0,448.375,448.375
bfscc,2.33666225508035,2.3399999999999994,nan,0.0,151.0,151.0
mis,2.346374942732867,2.3399999999999994,nan,0.0,150.75,150.75
cf,2.4301748603506503,1.9699999999999998,nan,0.0,157.0,157.0
bfs-bitvector,2.3390373183884985,2.3200000000000003,nan,0.0,152.0,152.0
components-shortcut,2.33666225508035,2.3399999999999994,nan,0.0,151.0,151.0
triangle,2.345474929925079,2.3399999999999994,nan,0.0,151.0,151.0
components,2.346537461710562,2.3399999999999994,nan,0.0,150.625,150.625
