,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.9535861536804022,0.0444,nan,0.0,285.5,20.6875
mcf,0.5598381033357256,25.624633431085044,1.2489,0.056905,698.25,415.75
namd,3.683558022477044,0.26300000000000007,0.98003,0.0063988,228.5,26.974999999999998
fotonik3d,0.4240767705973472,25.400000000000006,1.3828,0.21606,494.125,493.5
cam4,2.576297458029954,1.5461869717020542,1.0217,0.16598,1560.0,202.125
deepsjeng,3.5727358168389727,0.286,0.97744,0.01162,220.125,61.712500000000006
imagick,3.697633965090154,0.3129839556917887,1.0561,0.0028112,655.875,40.3125
wrf,3.773941340511643,0.29499999999999993,0.99578,0.0045552,254.75,35.025
parest,0.5923400438034028,26.399527584837898,1.4208,0.018131,449.375,346.5
leela,3.9317610787737363,0.0439,nan,0.0,292.25,23.375
lbm,0.29701348841310526,28.2,1.4843,0.39391,867.875,533.875
nab,3.1591334498404895,0.6302497027348395,0.97126,0.010605,194.875,29.662499999999998
blender,3.3640543955563174,1.1112402234636873,0.9197,0.0010443,249.0,47.3875
cactuBSSN,1.7369223108183902,3.55,1.1725,0.12696,836.625,48.92500000000001
perlbench,3.9538464831360236,0.08119999999999998,nan,0.0,208.875,133.5
x264,3.8529858971380087,0.22300000000000003,0.87447,4.1471e-05,218.375,194.25
xz,1.3693795715391992,5.294976446055611,1.0888,0.29564,423.125,235.25
gcc,3.4500571624546015,0.6028702658601973,0.9819,0.087391,265.375,34.24999999999999
roms,1.2447753869182603,7.3049965776865164,1.1796,0.17389,532.375,284.125
xalancbmk,2.0201099093245385,1.9412443874278382,1.0458,0.29228,274.25,37.3625
omnetpp,0.9209117845097815,9.279997306032138,1.1098,0.2652,437.25,206.625
bwaves,0.28475992728341887,42.9,1.8626,0.042047,814.75,770.875
