,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.954736752234101,0.0444,nan,0.0,280.75,20.687499999999996
mcf,0.5462990326898906,25.62473127723026,2.4259,0.074197,696.625,415.0
namd,3.6770772641159444,0.2632492890995261,0.89987,0.046293,230.0,27.0125
fotonik3d,0.3680163039533121,25.400000000000006,4.4139,0.26317,563.75,563.125
cam4,2.1760932135578632,1.5462187665445182,1.5046,0.27505,736.5,104.625
deepsjeng,3.561121929881707,0.286,0.84826,0.061801,222.375,62.162499999999994
imagick,3.6556476455661233,0.31262104710556154,1.6225,0.015297,667.625,40.662499999999994
wrf,3.7430725858580054,0.29499999999999993,1.163,0.018483,287.75,37.125
parest,0.5850662079749747,26.336559620450164,3.1944,0.025334,456.125,350.75
leela,3.9338736250926263,0.0439,nan,0.0,294.625,23.425
lbm,0.2558735693797268,28.2,4.9249,0.44556,764.125,471.125
nab,3.157935096967313,0.6298744294789543,0.78399,0.022789,195.25,29.687499999999996
blender,3.368297357041023,1.1100000000000003,0.84236,0.001805,248.5,47.3
cactuBSSN,1.7039955369789506,3.55,3.7091,0.15719,854.125,49.55
perlbench,3.9523601755405116,0.08119999999999998,nan,0.0,212.0,135.125
x264,3.848036386612109,0.22300000000000003,0.84875,0.0010287,217.625,193.625
xz,1.260642032358573,5.292463374689273,2.95,0.35662,467.125,258.875
gcc,3.391191900041047,0.6008702460082532,0.96108,0.17864,287.0,35.4375
roms,1.1918837998914615,7.301248503506072,3.5451,0.228,546.125,290.875
xalancbmk,1.8567346554065272,1.9399999999999997,1.2194,0.34516,313.75,40.025
omnetpp,0.8388599683695755,9.278748820277741,3.9828,0.3056,476.125,223.75
bwaves,0.260459700221264,42.3,3.2616,0.058626,861.375,813.75

cc,0.11863316959937913,80.5999379652128,2.4472,0.29174,223.125,206.375
bc,1.2013833152435902,6.660000000000001,2.7216,0.17518,275.375,226.25
sssp,2.43072123102563,1.6587433762301285,0.98697,0.26761,275.375,88.7625
tc,0.1401774938030488,41.7,2.9242,0.49961,924.625,924.625
pr,0.47285204612241033,22.7,5.2742,0.24479,561.0,561.0
bfs,0.6153386466197807,17.0,11.596,0.29717,476.875,476.875
