,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.962799043260835,0.0247,400.875,20.525,49448,0,0.0,nan,12624028,0
mcf,0.34725761663900717,19.012442698100852,1718.75,843.0,38511942,2477091,0.0,0.0,145956431,17534876
namd,3.609754476214612,0.22900000000000004,326.125,28.587500000000002,458392,157349,0.0,0.0,13878542,1170415
fotonik3d,0.1724586764667347,26.6,1430.0,1273.75,53347773,23342304,0.0,0.0,290251026,167503606
cam4,1.0458457542374902,3.7400000000000007,1368.75,522.0,7506979,3025207,0.0,0.0,47924326,21590738
deepsjeng,3.4765087428517627,0.278,255.5,68.3625,555983,223067,0.0,0.0,14397360,1621312
imagick,3.7486498246110935,0.1287446314218832,1545.0,40.2125,257578,11713,0.0,0.0,13342464,91707
wrf,3.6103459110744685,0.257,508.375,45.97500000000001,519526,156487,0.0,0.0,14059201,1136144
parest,0.2626092210054793,26.474551325583185,1048.75,806.875,53081814,997643,0.0,0.0,190860127,6862457
leela,3.9545743825103945,0.0261,411.625,22.8125,52207,0,0.0,nan,12649725,0
lbm,0.13773374129941432,27.699999999999996,1731.25,1060.0,55341051,41315099,0.0,0.0,363136375,294559048
nab,3.0348490757175552,0.605374613003096,219.125,30.5,1211490,27341,0.0,0.0,16489164,192612
blender,3.003737537346606,1.07,378.625,60.599999999999994,2156083,2567,0.0,0.0,16762361,18643
cactuBSSN,1.3018606878882364,3.5299999999999994,1147.5,59.75,7075977,1492995,0.0,0.0,38492032,11123286
perlbench,3.9290382117364424,0.08813747341556785,297.0,183.625,176306,250,0.0,0.0,12751539,1902
x264,3.7346340027373874,0.2639962228011687,281.75,226.625,528740,11552,0.0,0.0,13410045,91092
xz,0.7267257705181729,5.15123816635412,934.5,504.25,10351362,6333225,0.0,0.0,69156166,45181881
gcc,3.2373451082257754,0.46262232976476175,498.125,42.025,926189,443363,0.0,0.0,15468592,3276918
roms,0.6232719736781612,7.854996817313813,959.625,377.75,15844840,3795879,0.0,0.0,80842075,27513033
xalancbmk,1.581899552785577,1.59,472.75,40.375,3172829,2897308,0.0,0.0,31632415,20713774
omnetpp,0.4599669822486502,9.172497956959957,978.25,446.375,18371049,8642170,0.0,0.0,108840232,62236965
bwaves,0.1566124606113643,41.9,1611.25,1540.0,83273812,6732545,0.0,0.0,319470717,46075579
