,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9639370662959656,0.0247,368.25,20.4875,49448,0,0.092783,nan,12618542,0
mcf,0.39773470736256533,19.07490144546649,1545.0,760.375,38780255,2493557,0.1347,0.051488,127977443,16785371
namd,3.628569968118673,0.22900000000000004,283.625,27.3875,457872,157094,0.079205,0.093689,13799772,1082259
fotonik3d,0.1761937034901454,26.6,1380.0,1230.0,53325133,23331425,0.016394,0.029402,283973687,162333790
cam4,1.2213454844989653,3.7424949966644436,1077.5,413.0,7511869,3026928,0.19914,0.23626,41040352,17767764
deepsjeng,3.4730467504930442,0.278,255.375,68.3375,555955,223027,0.0015479,4.3016e-05,14409955,1615443
imagick,3.808471957899718,0.12811636880417868,995.5,32.849999999999994,256236,10171,0.32122,0.37541,13140397,60321
wrf,3.659772121797198,0.257,429.875,41.8,516636,157364,0.134,0.22763,13781690,932841
parest,0.34711647844512955,26.449434479167355,799.5,615.5,53079308,998459,0.25875,0.21859,144527342,5900470
leela,3.959023901377245,0.0261,338.25,22.3,52203,0,0.11428,nan,12634461,0
lbm,0.14945872149339381,27.699999999999996,1570.0,958.125,55362892,41331600,0.06065,0.10962,334785614,265087446
nab,3.037112176975839,0.605249690466364,218.75,30.5,1211065,27402,0.00038626,0.11181,16471188,176482
blender,3.0962749933945584,1.06997663398336,342.5,56.525,2149058,2429,0.080075,0.076386,16203280,15677
cactuBSSN,1.3019112227754845,3.5299999999999994,1145.0,59.6875,7069376,1491348,0.00036464,0.0016954,38456585,11077309
perlbench,3.9308984650280365,0.08814997163925128,287.125,177.875,176309,223,0.051292,0.011869,12731428,1574
x264,3.720447476122506,0.26387363824268095,283.125,227.5,527811,11303,0.004145,0.070512,13450357,85121
xz,0.7280356614917701,5.161233370062529,928.25,501.875,10379468,6357069,0.0091036,0.00041298,69083103,45392547
gcc,3.2726690366806794,0.46274416543148794,435.5,39.15,927623,444318,0.081836,0.013652,15328422,3237907
roms,0.7375107263231011,7.859939591459114,784.0,311.125,15840856,3794137,0.18335,0.13175,68249299,24531638
xalancbmk,1.6213240230719985,1.5862352012628256,460.25,39.800000000000004,3173309,2898161,0.00058708,0.088521,30875895,19111620
omnetpp,0.4836233989993251,9.174997275204358,931.125,425.375,18367285,8640691,0.067019,0.0023545,103487445,61931927
bwaves,0.18777372523452784,41.9,1310.0,1250.0,83282765,6736508,0.17473,0.35087,266495293,34940699
