,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.95844917015959,0.0247,391.375,20.5,49448,0,0.15695,nan,12635244,0
mcf,0.40668487886353266,19.07490144546649,1545.0,758.5,38717282,2491212,0.1585,0.057388,125027832,16892862
namd,3.572394032872351,0.22900000000000004,305.25,28.0125,458198,156920,0.22349,0.11182,14016460,1123070
fotonik3d,0.17401498463053433,26.6,1430.0,1270.0,53308180,23324310,0.019607,0.03205,287440449,164651367
cam4,1.2227851753188097,3.7424949966644436,1062.5,407.5,7502432,3023342,0.24484,0.28022,40954549,17448629
deepsjeng,3.3618866238703835,0.278,306.375,78.8125,555742,222926,0.010219,7.6008e-05,14882440,1763849
imagick,3.7737740288011694,0.12849027190221257,985.375,32.7625,256855,10945,0.35289,0.39047,13260651,64485
wrf,3.703765436441681,0.257,371.625,38.699999999999996,516282,155225,0.29193,0.28302,13606895,906430
parest,0.36476532096201814,26.43722256985017,787.625,606.25,53046665,1000990,0.31229,0.24352,137430869,5829810
leela,3.9530355251657228,0.0261,368.25,22.537499999999998,52209,0,0.204,nan,12656404,0
lbm,0.14881749550632128,27.699999999999996,1603.75,979.875,55333934,41310085,0.072938,0.12226,336047486,263489589
nab,2.8821487985090863,0.6054995871180843,250.625,32.175000000000004,1211883,27402,0.16037,0.16009,17365154,183057
blender,3.066679208089198,1.0699766339833598,376.125,60.33749999999999,2152016,2525,0.11961,0.10744,16389220,17615
cactuBSSN,1.276097061923624,3.5299999999999994,1205.0,61.7625,7073210,1492852,0.00044288,0.0018235,39260822,11513010
perlbench,3.9339434749914752,0.08814997163925128,295.75,183.25,176306,278,0.15523,0.016878,12732751,2639
x264,3.7150915157054794,0.26437316464699256,325.375,261.0,529002,11202,0.0081907,0.084092,13486934,86671
xz,0.7081048502605527,5.153735759871812,987.375,532.75,10351229,6336198,0.010827,0.00044994,70942990,46541609
gcc,3.1978444051982646,0.4639967672188559,473.5,40.95,928417,444713,0.12475,0.016073,15651500,3462864
roms,0.7556255897450199,7.866158230052472,766.25,304.625,15869381,3815015,0.26917,0.15265,66659946,24516029
xalancbmk,1.5714741366702911,1.5887430830039526,475.75,40.5,3173839,2898377,0.17606,0.1031,31855180,19778697
omnetpp,0.47535455812991106,9.173747445852063,974.625,444.875,18371418,8642220,0.07932,0.0026649,105311575,63877483
bwaves,0.19405245893350784,41.9,1300.0,1240.0,83282015,6734710,0.20716,0.414,257872698,32566708
