,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

bwaves,0.5946599056520161,13.6,541.625,510.625,27266016,11914628,0.0,0.0,252384317,148622176
xz,2.608659253934053,1.1324835164835163,333.625,167.5,2269225,1748179,0.0,0.0,57556971,19615709
gcc,0.8180508562364048,17.799999999999997,383.0,382.5,35590505,41303,0.0,0.0,183540368,508562
mcf,0.8090535294620318,17.422857561287383,609.75,443.25,35979160,1999173,0.0,0.0,191889813,23623724
leela,3.983474847030912,0.011799999999999998,241.25,112.875,23520,0,0.0,nan,37663785,0
xalancbmk,2.2854894237974706,1.988731932290648,780.125,423.375,3996034,3706886,0.0,0.0,65886522,44917068
omnetpp,0.7843321642336591,10.5,492.875,384.0,21060117,9279054,0.0,0.0,191408051,108497154
fotonik3d,0.4908299068384187,15.774880763116057,567.625,468.375,31524000,19440745,0.0,0.0,305774256,229990912
cam4,1.2684732662618072,4.879455363690773,694.375,317.875,9804148,7396139,0.0,0.0,118986023,92667183
pop2,1.8867326810311387,3.2812466742683397,532.75,287.5,6595529,3091333,0.0,0.0,79803452,37594514
imagick,3.902699906472343,0.03910000000000001,234.5,234.5,78135,0,0.0,nan,38445966,0
x264,3.8482245156782438,0.19812318579327376,247.25,164.75,396360,10836,0.0,0.0,38996692,177098
exchange2,3.9998874997265492,0.00014,236.875,236.875,280,0,0.0,nan,37501595,0
perlbench,3.962711506379148,0.0669,227.375,224.625,133857,0,0.0,nan,37869707,0
roms,1.077135873892534,7.3599999999999985,685.375,685.375,14754606,5047519,0.0,0.0,139439701,63758885
nab,3.8569779031247884,0.1699985293735997,221.875,85.4375,340412,126504,0.0,0.0,38984232,1563983
cactuBSSN,1.505848387196373,7.150000000000002,689.625,513.25,14316603,1857142,0.0,0.0,99735403,24071139
deepsjeng,3.5139730006930403,0.2768746038931643,246.5,233.75,554075,246363,0.0,0.0,42727835,2967617
lbm,0.3195474068359732,27.499999999999996,799.75,799.75,55081084,27541209,0.0,0.0,469756218,328049414
wrf,0.7203336494552315,11.812407991587804,790.875,687.875,23679053,9279757,0.0,0.0,208309748,113585814
