,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7522843686408708,18.986380427949516,667.5,333.0,39160047,2517485,0.11944,0.026467,205666874,29151501
namd,3.6558721769833507,0.22887452054794524,245.375,26.337500000000002,457958,156608,0.077894,0.07035,41074493,2027680
fotonik3d,0.3619024455813657,26.6,668.5,597.375,53317914,23328590,0.0099086,0.023031,414714691,270621138
cam4,1.7449473824528163,3.7400000000000007,602.375,236.5,7509765,3026540,0.15928,0.2028,86139973,33419662
deepsjeng,3.52748634188676,0.278,239.25,64.9875,555730,222858,0.0019187,0.0,42555177,2645248
imagick,3.836683507162963,0.1282427066940906,572.5,27.299999999999997,256453,10548,0.31178,0.26934,39134279,135576
wrf,3.7627466985918017,0.257,305.625,35.175,513746,153113,0.12756,0.19483,39961322,1727446
parest,0.5951630812564654,26.48727008764158,441.875,342.625,53078755,997276,0.23013,0.13282,252622293,10977774
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2848499724380281,27.699999999999996,792.875,488.125,55353232,41324234,0.052826,0.098002,526877157,469731244
nab,3.0809496162517,0.6054995871180843,207.25,29.887500000000003,1211181,27553,0.00024852,0.0797,48707574,284440
blender,3.426112815168283,1.07,243.125,45.275,2143754,2499,0.069501,0.036803,43880316,26251
cactuBSSN,2.247070050133912,3.5299999999999994,465.875,35.725,7071236,1492674,2.9822e-05,0.00055114,66863794,18418483
perlbench,3.951086236395188,0.08814997163925128,221.25,138.75,176306,272,0.04742,0.01145,37988237,3053
x264,3.783486489417028,0.2647464548577471,239.875,193.875,529382,11175,0.0025022,0.026527,39675816,146251
xz,1.3243636563461088,5.1486845119532925,466.375,256.25,10363767,6342386,0.0076148,0.00016498,114041324,73568028
gcc,3.4862432424719296,0.4628742236549863,309.875,33.362500000000004,926543,443341,0.068757,0.0090834,43101273,5413094
roms,1.221563385479066,7.859968241774437,428.0,175.5,15884178,3812084,0.14407,0.12021,123799755,43603495
xalancbmk,2.148861968385019,1.59,299.375,32.6,3172521,2897684,0.00043781,0.069164,69858292,32211966
omnetpp,0.9091115190416119,9.173747445852062,474.25,222.25,18372568,8642819,0.060235,0.0020502,165221547,101013958
bwaves,0.3494397518513052,41.9,623.875,596.0,83314797,6742046,0.16408,0.30427,429812962,71797385
