,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

bwaves,0.5710361227442269,13.6,581.75,548.125,27270809,11916306,0.0020507,0.055024,262869033,157458743
xz,2.510084520612154,1.1337293729372937,363.25,181.625,2269268,1747704,0.019363,0.00049198,59815031,27166059
gcc,0.8952347228455823,17.799999999999997,367.75,367.125,35583257,41312,0.45478,0.18007,167680206,506480
mcf,0.788444458385292,17.474605026103063,681.375,495.125,35673827,1979774,0.017937,0.0066932,194747150,24491450
leela,3.9828998744869626,0.011799999999999998,260.625,121.0,23520,0,0.25263,nan,37665752,0
xalancbmk,2.3501540806532524,1.987465288798572,703.375,382.75,3996332,3707361,0.34016,0.12784,64086723,47432989
omnetpp,0.7707470307585044,10.5,533.5,415.375,21063896,9280594,0.086073,0.0020688,194805396,118899010
fotonik3d,0.4714374261087851,15.749841269841271,633.5,522.25,31520181,19440612,0.0050544,0.001934,318344483,235016972
cam4,1.348345341289193,4.901829212422781,598.125,276.75,9990637,7488680,0.38626,0.28124,113553197,87124707
pop2,1.9817669697297322,3.2849923896499247,485.5,263.5,6655054,3120642,0.34393,0.15574,76430576,39625378
imagick,3.8900373689191214,0.03910000000000001,255.75,255.75,78143,0,0.0,nan,38574443,0
x264,3.8170740544183968,0.19824654394924024,285.75,189.125,396638,11058,0.0046285,0.0045038,39322708,542637
exchange2,3.9998874997265492,0.00014,213.25,213.25,280,0,0.19355,nan,37501419,0
perlbench,3.962785561729751,0.0669,239.5,236.5,133972,44,0.1407,0.0,37875475,2446
roms,1.095084687040303,7.3599999999999985,696.75,696.75,14782634,5058003,0.13744,0.17086,137344396,65797277
nab,3.882234586781462,0.1698728848356493,194.25,76.55000000000001,339756,126223,0.43591,0.1509,38678581,4060459
cactuBSSN,1.5207734361854182,7.150000000000002,720.25,535.625,14317738,1858196,0.00022008,0.00074592,98756421,28266244
deepsjeng,3.4244744950125017,0.27699999999999997,284.25,269.5,553748,246134,0.014111,0.0,43827495,11531154
lbm,0.3232049624917411,27.499999999999996,824.25,824.25,55064443,27532042,0.13633,0.070981,464295566,328129055
wrf,0.7398345990180353,11.8,765.5,665.625,23668165,9264070,0.27692,0.16598,202860487,113017062
