,BASELINE,BANK_BALANCED_CACHE,RANDOM_WRITES,NO_WRITES

mcf,1.000,1.027,1.040,1.160
fotonik3d,1.000,1.115,1.148,1.681
parest,1.000,0.996,1.011,1.049
lbm,1.000,1.088,1.114,2.411
cactuBSSN,1.000,1.055,1.090,1.167
xz,1.000,1.104,1.131,1.755
roms,1.000,1.040,1.116,1.481
omnetpp,1.000,1.088,1.142,1.773
bwaves,1.000,1.027,1.034,1.112
gmean_mtf/spec2017,1.000,1.059,1.091,1.457

pagerankdelta,1.000,1.148,1.165,1.752
pagerank,1.000,1.013,1.012,1.041
bellmanford,1.000,1.041,1.044,1.173
bc,1.000,1.093,1.096,2.491
gmean_mtf/ligra,1.000,1.073,1.078,1.519

cc,1.000,1.029,1.100,1.739
bc,1.000,1.007,1.085,1.323
tc,1.000,0.988,1.071,2.751
pr,1.000,1.022,1.146,1.606
bfs,1.000,1.028,1.147,1.768
gmean_mtf/gap,1.000,1.015,1.110,1.782

gmean,1.000,1.050,1.093,1.555
