,BASELINE_CP_ZEN,BASELINE_CP_RANDOM,NO_WRITES_CP_ZEN,WRITE_SYNC_CP_ZEN,WRITE_SYNC_BALANCED_CACHE_CP_ZEN

mcf,1.000,1.061,1.174,1.090,1.089
fotonik3d,1.000,1.094,1.561,1.123,1.136
cam4,1.000,1.030,1.183,1.038,1.061
parest,1.000,0.971,1.035,1.007,1.012
lbm,1.000,1.069,2.213,1.119,1.146
blender,1.000,1.013,1.002,0.999,1.000
cactuBSSN,1.000,1.555,1.325,1.159,1.071
xz,1.000,1.087,1.678,1.118,1.163
roms,1.000,1.020,1.321,1.067,1.068
xalancbmk,1.000,1.061,1.595,1.125,1.088
omnetpp,1.000,1.098,1.672,1.112,1.159
bwaves,1.000,1.211,1.075,1.005,1.009
gmean_mtf/spec2017,1.000,1.098,1.365,1.079,1.082

cc,1.000,1.045,1.567,1.060,1.069
bc,1.000,1.008,1.283,1.063,1.078
sssp,1.000,1.041,1.262,1.105,1.104
tc,1.000,0.964,2.269,0.991,0.994
pr,1.000,1.006,1.396,1.054,1.057
bfs,1.000,0.940,1.510,1.051,1.053
gmean_mtf/gap,1.000,1.000,1.516,1.054,1.059

facesim,1.000,0.989,1.298,1.084,1.121
raytrace,1.000,1.022,1.772,1.107,1.108
canneal,1.000,1.079,1.510,1.155,1.164
streamcluster,1.000,1.066,1.005,1.002,1.004
gmean_mtf/parsec,1.000,1.039,1.367,1.086,1.097

pagerank,1.000,1.004,1.032,1.010,1.010
bellmanford,1.000,1.010,1.129,1.029,1.034
bc,1.000,0.984,2.124,1.034,1.055
bfscc,1.000,0.912,1.549,1.065,1.056
mis,1.000,0.909,1.553,1.065,1.057
gmean_mtf/ligra,1.000,0.963,1.429,1.040,1.042

gmean,1.000,1.041,1.409,1.067,1.072
