BASELINE_CP_ZEN,NO_WRITES_CP_ZEN,WRITE_SYNC_CP_ZEN,WRITE_SYNC_BALANCED_CACHE_CP_ZEN
mcf,1.000,1.130,1.029,1.045
fotonik3d,1.000,1.656,1.120,1.194
cam4,1.000,1.196,1.043,1.064
parest,1.000,1.014,1.005,1.007
lbm,1.000,2.469,1.229,1.203
blender,1.000,1.000,0.999,0.999
cactuBSSN,1.000,1.166,0.970,0.980
xz,1.000,1.665,1.068,1.115
roms,1.000,1.387,1.057,1.101
xalancbmk,1.000,1.211,1.023,1.027
omnetpp,1.000,1.583,1.070,1.124
bwaves,1.000,1.085,1.010,1.027
gmean_mtf/spec2017,1.000,1.333,1.050,1.072
cc,1.000,2.724,1.166,1.170
bc,1.000,2.678,1.183,1.184
sssp,1.000,2.651,1.175,1.169
tc,1.000,2.670,1.159,1.156
pr,1.000,2.731,1.195,1.191
bfs,1.000,2.408,1.156,1.160
gmean_mtf/gap,1.000,2.641,1.172,1.172
gmean,1.000,1.674,1.089,1.104
