BASELINE_CP_ZEN,NO_WRITES_CP_ZEN,WRITE_SYNC_CP_ZEN,WRITE_SYNC_BALANCED_CACHE_CP_ZEN
mcf,1.000,1.107,1.022,1.021
fotonik3d,1.000,1.577,1.089,1.096
cam4,1.000,1.209,1.046,1.063
parest,1.000,1.035,1.008,1.009
lbm,1.000,2.362,1.166,1.166
blender,1.000,1.000,1.000,1.000
cactuBSSN,1.000,1.343,1.192,1.176
xz,1.000,1.751,1.152,1.182
roms,1.000,1.373,1.064,1.091
xalancbmk,1.000,1.798,1.233,1.233
omnetpp,1.000,1.717,1.122,1.157
bwaves,1.000,1.116,1.046,1.045
gmean_mtf/spec2017,1.000,1.402,1.092,1.101
gmean,1.000,1.402,1.092,1.101
