BASELINE_CP_ZEN,NO_WRITES_CP_ZEN,WRITE_SYNC_CP_ZEN,WRITE_SYNC_BALANCED_CACHE_CP_ZEN
mcf,1.000,1.102,1.015,1.046
fotonik3d,1.000,1.586,1.123,1.137
cam4,1.000,1.197,1.035,1.038
parest,1.000,1.029,1.006,1.023
lbm,1.000,2.438,1.170,1.141
blender,1.000,1.002,1.001,1.001
cactuBSSN,1.000,1.576,1.304,1.601
xz,1.000,1.745,1.157,1.197
roms,1.000,1.487,1.093,1.439
xalancbmk,1.000,1.716,1.229,1.149
omnetpp,1.000,1.750,1.116,1.225
bwaves,1.000,1.077,1.009,1.017
gmean_mtf/spec2017,1.000,1.424,1.101,1.156
gmean,1.000,1.424,1.101,1.156
