,BASELINE_OP_MOP4,BASELINE_OP_RANDOM,NO_WRITES_OP_MOP4,WRITE_SYNC_OP_MOP4,WRITE_SYNC_BALANCED_CACHE_OP_MOP4

mcf,1.000,0.996,1.123,1.019,1.009
fotonik3d,1.000,1.138,1.514,1.024,1.060
cam4,1.000,0.987,1.208,1.019,1.017
parest,1.000,0.940,1.034,1.002,1.008
lbm,1.000,1.058,2.224,1.065,1.073
blender,1.000,0.977,1.000,1.001,1.002
cactuBSSN,1.000,1.316,1.265,1.066,1.097
xz,1.000,1.070,1.639,1.087,1.145
roms,1.000,1.000,1.388,1.016,1.013
xalancbmk,1.000,1.069,1.766,1.178,1.112
omnetpp,1.000,1.063,1.755,1.120,1.173
bwaves,1.000,1.068,1.103,1.018,1.013
gmean_mtf/spec2017,1.000,1.053,1.377,1.050,1.059

cc,1.000,1.055,1.598,1.068,1.080
bc,1.000,0.944,1.438,1.117,1.138
sssp,1.000,1.034,1.263,1.104,1.100
tc,1.000,0.976,2.334,1.008,1.045
pr,1.000,0.999,1.470,1.028,1.041
bfs,1.000,0.924,1.556,1.025,1.032
gmean_mtf/gap,1.000,0.988,1.579,1.058,1.072

facesim,1.000,0.903,1.291,1.021,1.107
raytrace,1.000,0.970,1.789,1.062,1.051
canneal,1.000,1.053,1.569,1.160,1.176
streamcluster,1.000,0.882,1.009,1.003,1.004
gmean_mtf/parsec,1.000,0.950,1.383,1.060,1.083

pagerank,1.000,0.990,1.030,1.005,1.006
bellmanford,1.000,0.985,1.135,1.012,1.035
bc,1.000,1.037,2.298,1.076,1.100
bfscc,1.000,0.812,1.865,1.015,0.952
mis,1.000,0.811,1.862,1.012,0.949
gmean_mtf/ligra,1.000,0.922,1.563,1.024,1.007

gmean,1.000,0.997,1.454,1.048,1.055
