BASELINE_OP_MOP4,NO_WRITES_OP_MOP4,WRITE_SYNC_OP_MOP4,WRITE_SYNC_BALANCED_CACHE_OP_MOP4
mcf,1.000,1.109,1.026,1.031
fotonik3d,1.000,1.563,1.104,1.083
cam4,1.000,1.188,1.029,1.027
parest,1.000,1.026,0.991,1.023
lbm,1.000,2.532,1.160,1.135
blender,1.000,1.005,0.997,0.997
cactuBSSN,1.000,1.507,1.166,1.499
xz,1.000,1.685,1.122,1.165
roms,1.000,1.494,1.046,1.399
xalancbmk,1.000,1.975,1.371,1.274
omnetpp,1.000,1.870,1.148,1.263
bwaves,1.000,1.090,0.993,1.001
gmean_mtf/spec2017,1.000,1.444,1.091,1.148
gmean,1.000,1.444,1.091,1.148
