,BASELINE,WRITE_SYNC,BASELINE_DEAD_BLOCK,WRITE_SYNC_DEAD_BLOCK,WRITE_SYNC_RANDOM_WRITES,NO_WRITES

bwaves,1.000,1.256,1.063,1.201,1.343,1.628
xz,1.000,1.122,0.980,1.057,1.129,1.339
gcc,1.000,1.002,1.002,1.002,1.002,1.003
mcf,1.000,1.005,0.772,0.785,1.022,1.073
xalancbmk,1.000,1.069,0.998,1.034,1.082,1.238
omnetpp,1.000,1.108,1.070,1.118,1.163,1.659
fotonik3d,1.000,1.143,1.102,1.150,1.165,1.907
cam4,1.000,1.106,1.167,1.214,1.141,1.695
pop2,1.000,1.061,1.015,1.064,1.074,1.239
roms,1.000,1.118,1.074,1.140,1.137,1.396
cactuBSSN,1.000,1.041,1.000,1.038,1.072,1.101
lbm,1.000,1.066,1.084,1.091,1.114,1.746
wrf,1.000,1.091,1.088,1.159,1.129,1.541
gmean_imat/spec,1.000,1.090,1.027,1.075,1.118,1.401

cf,1.000,1.060,0.892,1.002,1.074,1.400
bfs,1.000,1.064,0.889,1.005,1.081,1.527
bc,1.000,1.034,1.011,1.040,1.082,2.124
mis,1.000,1.065,0.888,1.006,1.081,1.553
pagerankdelta,1.000,1.129,1.062,1.137,1.156,1.631
components,1.000,1.065,0.888,1.002,1.080,1.550
components-shortcut,1.000,1.065,0.892,1.005,1.082,1.549
pagerank,1.000,1.010,1.107,1.116,1.012,1.032
triangle,1.000,1.066,0.890,1.006,1.084,1.556
bellmanford,1.000,1.043,1.073,1.097,1.053,1.145
bfs-bitvector,1.000,1.063,0.887,1.003,1.081,1.526
bfscc,1.000,1.065,0.890,1.004,1.082,1.549
radii,1.000,1.062,0.886,1.003,1.079,1.540
gmean_imat/ligra,1.000,1.060,0.939,1.032,1.079,1.494

gmean,1.000,1.075,0.982,1.053,1.098,1.447
