BASELINE_CP_ZEN,NO_WRITES_CP_ZEN,WRITE_QUEUE_9_CP_ZEN,WRITE_QUEUE_11_CP_ZEN
mcf,1.000,1.126,1.020,1.038
fotonik3d,1.000,1.659,1.136,1.173
cam4,1.000,1.200,0.980,1.008
parest,1.000,1.016,1.002,1.007
lbm,1.000,2.466,1.227,1.227
blender,1.000,0.999,0.999,0.999
cactuBSSN,1.000,1.178,1.009,1.004
xz,1.000,1.662,1.034,1.033
roms,1.000,1.395,1.052,1.122
xalancbmk,1.000,1.210,0.999,0.999
omnetpp,1.000,1.584,1.058,1.048
bwaves,1.000,1.091,0.984,0.989
gmean_mtf/spec2017,1.000,1.335,1.039,1.051
cc,1.000,2.722,1.052,1.073
bc,1.000,2.678,0.983,1.006
sssp,1.000,2.650,1.014,1.035
tc,1.000,2.671,1.001,0.996
pr,1.000,2.729,1.033,1.093
bfs,1.000,2.406,1.019,1.010
gmean_mtf/gap,1.000,2.640,1.017,1.035
gmean,1.000,1.676,1.032,1.046
