BASELINE_OP_MOP4,NO_WRITES_OP_MOP4,WRITE_QUEUE_9_OP_MOP4,WRITE_QUEUE_11_OP_MOP4
mcf,1.000,1.148,1.016,1.006
fotonik3d,1.000,1.588,1.048,1.168
cam4,1.000,1.232,1.007,1.034
parest,1.000,1.031,1.005,1.007
lbm,1.000,2.339,1.106,1.220
blender,1.000,1.001,1.000,1.000
cactuBSSN,1.000,1.291,1.044,1.025
xz,1.000,1.702,1.031,1.028
roms,1.000,1.431,1.025,1.028
xalancbmk,1.000,2.028,1.001,1.001
omnetpp,1.000,1.848,1.043,1.041
bwaves,1.000,1.100,1.012,1.035
gmean_mtf/spec2017,1.000,1.425,1.028,1.047
gmean,1.000,1.425,1.028,1.047
