,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

bwaves,0.5733121599625959,13.6,623.25,587.375,27292424,11954271,0.080198,0.38001,262039329,142188271
xz,2.445097568102226,1.134977973568282,382.0,190.375,2268994,2117831,0.053238,0.0024639,61413681,32094815
gcc,0.9025321119782728,17.799999999999997,385.0,384.25,35602382,41358,0.71843,0.39383,166414050,561754
mcf,0.8074325332397385,17.471856273711044,673.0,490.75,36168235,2124815,0.27242,0.051654,192482212,25847126
leela,3.98273701493758,0.011799999999999998,243.125,113.625,23521,3,0.40863,0.0,37675329,1313
xalancbmk,2.4216105669261077,1.989987436947999,640.25,349.125,3996028,3882468,0.63585,0.34769,62172076,47378133
omnetpp,0.81059575541247,10.5,506.875,394.75,21060185,9782196,0.29352,0.01293,185203858,108616009
fotonik3d,0.4911261599352804,15.762351072279587,556.375,459.375,31528153,19484033,0.17329,0.036145,305656310,207660564
cam4,1.309628286690862,4.91557395485536,630.25,291.625,9904527,9551560,0.70179,0.56298,115605959,100029778
pop2,2.065878527803183,3.2849848139273696,453.5,246.5,6680434,3328117,0.65298,0.40632,73517828,39381198
imagick,3.898324785977547,0.03910000000000001,241.875,241.875,78142,0,0.0,nan,38491599,0
x264,3.823686174850092,0.197871923065893,279.375,184.5,395939,15186,0.028741,0.024101,39265577,770446
exchange2,3.9998874997265492,0.00014,196.375,196.375,280,0,0.40816,nan,37501421,0
perlbench,3.9671236253852076,0.0669,215.625,213.25,133876,518,0.39558,0.014395,37838083,28998
roms,1.065253362757893,7.3599999999999985,662.625,662.625,14780644,5078797,0.49847,0.50776,141173723,63055117
nab,3.8954574536158026,0.1699985293735997,192.875,76.16250000000001,340134,185762,0.68548,0.37936,38563863,6784587
cactuBSSN,1.5517598009559512,7.150000000000002,657.875,489.625,14338260,1868507,0.00040331,0.03462,96912681,25443812
deepsjeng,3.44802174337846,0.2768746038931643,289.0,274.0,554299,297934,0.27164,0.0044156,43558995,13223103
lbm,0.3273262160148831,27.499999999999996,756.75,756.75,55069530,27568151,0.31975,0.15013,458487657,296631483
wrf,0.72195089378889,11.812407991587802,761.75,662.0,23672311,9954423,0.58678,0.41263,208125904,115740979

cf,1.2603870391249643,2.2700000000000005,260.125,25.312500000000004,4548120,3585642,0.55684,0.64182,119116893,41064505
bfs,1.2292346031018258,2.1,261.125,24.975,4196720,4262256,0.58481,0.66192,122488204,47745150
bc,0.3818863506963289,21.0,707.875,139.0,41935232,28992167,0.67926,0.61042,393475157,288650500
mis,1.2246445907725865,2.11,261.375,25.0,4211112,4276648,0.58506,0.6598,122762166,47888154
pagerankdelta,0.4784485728867967,15.9,1048.75,160.875,31767848,15907528,0.67307,0.64322,313976402,185796311
components,1.2263791916923392,2.11,261.5,25.0,4211104,4276640,0.5852,0.65957,122672580,47861708
components-shortcut,1.22506534097327,2.11,261.625,25.0,4211112,4276648,0.58378,0.65882,122737950,47706917
pagerank,0.3116337061985521,44.8,782.125,251.25,89623580,5256378,0.096632,0.41358,483222194,55452396
triangle,1.2236186097467967,2.11,262.0,25.0,4211112,4276648,0.58373,0.65985,122771716,48123417
bellmanford,0.557445723842319,19.8,505.375,99.1125,39565932,5428209,0.3155,0.043564,269712240,60966958
bfs-bitvector,1.228954678925932,2.1,261.0,24.962500000000002,4196648,4262184,0.58554,0.66008,122323783,47917010
bfscc,1.224678659514893,2.11,261.875,25.0,4211112,4276648,0.58403,0.65943,122771415,47970513
radii,1.224678659514893,2.11,261.875,25.0,4211112,4276648,0.58403,0.65943,122771415,47970513

facesim,0.8359034865844202,10.587395957193818,371.875,53.462500000000006,21186442,4150346,0.61501,0.53796,180428382,47089567
fluidanimate,1.093524324464274,4.93,658.5,49.949999999999996,9861863,5223196,0.31788,0.019085,137276491,58141044
raytrace,1.1873962217114253,3.4299999999999997,325.875,30.124999999999996,6854960,5286461,0.62146,0.63297,126500577,61020546
streamcluster,0.9590036245677052,12.3,324.0,53.10000000000001,24507910,69262,0.62869,0.33421,157000717,1200006
canneal,1.1515862276698683,4.910000000000001,444.5,39.5625,9820772,3440541,0.29184,0.021498,130399649,44671667
