BASELINE_CP_ZEN,SCAN_0,SCAN_5,SCAN_10,SCAN_15,SCAN_20,SCAN_25,SCAN_30
roms,1.0,1.018,1.009,1.004,0.992,0.990,1.003,1.005
bwaves,1.0,0.999,0.998,0.997,0.998,0.994,0.996,0.992
xz,1.0,1.000,1.005,1.001,0.998,0.998,0.994,0.993
mcf,1.0,1.002,1.002,0.999,0.998,0.978,0.996,0.994
omnetpp,1.0,0.998,1.001,1.000,1.002,0.998,0.998,0.996
lbm,1.0,1.000,1.002,0.995,0.995,0.998,0.998,0.995
cactuBSSN,1.0,1.002,1.002,0.982,1.001,0.995,0.997,0.988
parest,1.0,1.002,1.001,0.999,0.997,1.000,0.998,0.998
cam4,1.0,1.006,1.003,1.008,0.983,0.979,1.011,0.978
blender,1.0,1.003,1.001,1.001,1.000,1.002,1.001,1.002
xalancbmk,1.0,0.975,0.999,0.995,0.992,0.991,0.990,0.989
fotonik3d,1.0,1.021,1.007,1.011,1.014,1.017,1.012,1.011
gmean,1.0,1.002,1.002,0.999,0.997,0.995,0.999,0.995
