BASELINE_OP_MOP4,SCAN_0,SCAN_5,SCAN_10,SCAN_15,SCAN_20,SCAN_25,SCAN_30
roms,1.0,0.997,0.987,0.971,0.995,0.988,0.986,0.986
bwaves,1.0,0.995,1.001,1.000,0.999,0.998,0.997,0.996
xz,1.0,0.999,1.003,0.997,1.001,0.996,0.992,0.986
mcf,1.0,0.979,0.979,0.989,0.986,0.974,0.975,0.997
omnetpp,1.0,0.995,0.996,1.001,0.999,1.001,1.000,0.993
lbm,1.0,1.000,0.985,0.995,0.998,1.002,0.999,0.994
cactuBSSN,1.0,1.002,0.998,1.015,0.990,0.992,0.996,0.988
parest,1.0,1.002,1.001,1.000,1.003,1.001,1.001,1.001
cam4,1.0,0.992,1.033,1.041,1.025,1.046,1.022,1.045
blender,1.0,1.000,1.001,0.999,0.999,1.000,1.000,1.000
xalancbmk,1.0,0.978,1.028,1.022,1.018,1.016,1.016,1.015
fotonik3d,1.0,0.979,0.987,0.993,0.995,0.990,0.993,0.997
gmean,1.0,0.993,1.000,1.002,1.001,1.000,0.998,1.000
