,100:0,100:5,100:10,100:20,100:30,95:0,95:5,95:10,95:20,95:30,90:0,90:5,90:10,90:20,90:30,80:0,80:5,80:10,80:20,80:30,70:0,70:5,70:10,70:20,70:30
mcf,1.000,1.056,1.063,1.038,1.040,1.035,1.054,1.062,1.065,1.065,1.027,1.053,1.055,1.031,1.063,1.030,1.049,1.025,1.058,1.051,1.020,1.048,1.053,1.054,1.055
fotonik3d,1.000,1.081,1.114,1.144,1.153,0.986,1.077,1.110,1.140,1.127,0.960,1.055,1.107,1.132,1.146,0.939,1.061,1.096,1.130,1.139,0.962,1.055,1.069,1.095,1.095
lbm,1.000,1.167,1.181,1.249,1.268,0.999,1.128,1.172,1.250,1.246,1.005,1.118,1.182,1.244,1.256,0.988,1.122,1.163,1.230,1.236,0.968,1.130,1.165,1.212,1.221
cactuBSSN,1.000,1.046,1.050,1.079,1.081,1.004,1.036,1.060,1.057,1.078,0.997,1.051,1.062,1.079,1.085,0.998,1.038,1.052,1.064,1.083,0.995,1.037,1.064,1.078,1.078
xz,1.000,1.127,1.172,1.196,1.212,0.996,1.127,1.169,1.199,1.206,0.995,1.128,1.170,1.196,1.208,0.988,1.120,1.170,1.193,1.205,0.976,1.122,1.164,1.190,1.193
roms,1.000,1.073,1.085,1.106,1.113,1.007,1.067,1.088,1.102,1.103,1.000,1.061,1.077,1.097,1.101,0.983,1.071,1.089,1.096,1.102,0.985,1.053,1.084,1.094,1.086
omnetpp,1.000,1.111,1.148,1.167,1.198,0.996,1.113,1.147,1.161,1.181,0.999,1.114,1.149,1.163,1.180,0.993,1.104,1.129,1.168,1.169,0.984,1.098,1.139,1.158,1.157
bwaves,1.000,1.012,1.014,1.021,1.021,1.001,1.000,1.015,1.022,1.021,0.999,1.009,1.015,1.022,1.020,0.994,1.007,1.013,1.015,1.019,0.991,1.007,1.012,1.016,1.017
gmean_mtf/spec2017,1.000,1.083,1.102,1.123,1.133,1.003,1.074,1.101,1.122,1.126,0.998,1.073,1.101,1.118,1.130,0.989,1.071,1.091,1.117,1.123,0.985,1.068,1.093,1.110,1.111
pagerankdelta,1.000,1.146,1.186,1.220,1.216,0.992,1.138,1.185,1.213,1.218,0.984,1.139,1.184,1.212,1.217,0.973,1.128,1.173,1.199,1.202,0.972,1.119,1.166,1.197,1.199
pagerank,1.000,1.006,1.009,1.009,1.010,0.999,1.006,1.007,1.010,1.010,0.999,1.006,1.008,1.011,1.010,0.999,1.005,1.008,1.009,1.009,0.996,1.004,1.007,1.009,1.007
bellmanford,1.000,1.022,1.030,1.027,1.036,0.997,1.021,1.028,1.034,1.035,0.997,1.019,1.027,1.032,1.009,0.981,1.008,1.019,1.001,1.031,0.987,1.014,1.022,1.026,1.027
bc,1.000,1.140,1.178,1.211,1.225,1.001,1.134,1.180,1.214,1.216,1.024,1.117,1.166,1.196,1.220,0.967,1.129,1.164,1.201,1.202,0.987,1.102,1.157,1.185,1.179
gmean_mtf/ligra,1.000,1.076,1.097,1.112,1.117,0.997,1.073,1.097,1.114,1.116,1.001,1.069,1.093,1.109,1.109,0.980,1.066,1.088,1.098,1.107,0.986,1.059,1.086,1.101,1.099
cc,1.000,1.061,1.097,1.112,1.122,0.996,1.070,1.091,1.114,1.122,0.998,1.063,1.088,1.114,1.120,0.989,1.059,1.086,1.109,1.116,0.977,1.056,1.080,1.104,1.109
bc,1.000,1.064,1.076,1.085,1.086,1.000,1.067,1.085,1.088,1.082,1.001,1.071,1.078,1.079,1.080,0.994,1.064,1.076,1.082,1.077,0.988,1.059,1.075,1.080,1.068
tc,1.000,1.081,1.117,1.137,1.135,0.963,1.085,1.120,1.122,1.136,0.973,1.086,1.115,1.121,1.130,0.982,1.061,1.093,1.119,1.120,0.973,1.062,1.094,1.107,1.097
pr,1.000,1.045,1.065,1.086,1.092,0.995,1.041,1.063,1.083,1.090,0.990,1.038,1.061,1.081,1.087,0.975,1.030,1.054,1.075,1.080,0.926,1.019,1.045,1.066,1.071
bfs,1.000,1.125,1.150,1.174,1.181,1.042,1.122,1.148,1.173,1.178,1.053,1.118,1.136,1.169,1.176,1.011,1.107,1.137,1.161,1.167,1.013,1.094,1.127,1.152,1.123
gmean_mtf/gap,1.000,1.075,1.101,1.118,1.123,0.999,1.077,1.101,1.115,1.121,1.003,1.075,1.095,1.112,1.118,0.990,1.064,1.089,1.109,1.112,0.975,1.058,1.084,1.101,1.093
gmean,1.000,1.079,1.100,1.119,1.126,1.000,1.075,1.100,1.118,1.122,1.000,1.072,1.097,1.114,1.122,0.987,1.068,1.090,1.110,1.116,0.982,1.063,1.088,1.105,1.103
