,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7595826753752353,18.962112025912283,646.0,322.125,38104859,2383899,0.097695,0.0017386,198911202,22707447
fotonik3d,0.3837861790370944,26.9,613.25,553.5,53883436,23342191,0.0078618,0.00038321,391198185,214780691
cam4,1.7182338493666829,3.7400000000000007,576.75,226.875,7500157,3042932,0.17346,0.0016743,87430001,28436809
parest,0.6003994373102451,26.34980970418144,436.875,337.125,52848744,820084,0.18934,0.0028161,250409125,7533988
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2968912043184747,27.699999999999996,721.0,444.5,55366416,41363436,0.053218,0.00093455,505601439,376142622
blender,3.423416821311053,1.07,244.5,45.41250000000001,2142048,2237,0.070155,0.029037,43880153,23193
cactuBSSN,2.2595943259582922,3.5299999999999994,480.875,36.2625,7075795,1490224,3.15e-05,0.0020413,66524570,15002796
xz,1.3255669185600392,5.159985493162201,457.25,251.875,10373875,6708467,0.0085574,3.3387e-05,113843720,61922920
roms,1.2551871631507048,7.8787327524882,379.875,157.375,15842512,3894891,0.13584,0.0014477,120008788,36378002
xalancbmk,2.0765363200169307,1.5887430830039526,303.0,32.7375,3174156,2980329,0.0004579,0.00064794,72336262,27518799
omnetpp,0.9258557759578443,9.17,446.75,209.875,18355959,8901400,0.065521,8.8148e-05,162140627,81235899
bwaves,0.34853492310305095,41.9,613.875,586.25,83232548,6735305,0.16907,0.0014698,430652462,61549228
