,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

bwaves,0.5781734390532913,13.6,593.875,559.875,27291696,11914056,0.043417,0.029817,259782799,125090972
xz,2.5241734524410253,1.1337293729372937,359.125,179.5,2270319,1729998,0.05401,0.0024623,59505786,26812062
gcc,0.902192225392417,17.799999999999997,385.0,384.75,35580842,39074,0.71838,0.053131,166374605,505448
mcf,0.8115575830386484,17.43489487950416,669.625,486.625,36109128,2003957,0.26851,0.017761,191844399,23059772
leela,3.98273701493758,0.011799999999999998,243.125,113.625,23521,0,0.40863,nan,37675517,0
xalancbmk,2.3866719382292954,1.9937256489399382,736.0,401.0,4016338,3714035,0.59298,0.15283,63222672,44894278
omnetpp,0.8053005702993217,10.5,521.25,405.875,21054646,9231358,0.27479,0.0060719,186435211,107131577
fotonik3d,0.4846048988241287,16.0,581.75,487.25,32016157,19416725,0.11979,0.011425,309748957,201659379
cam4,1.385229091906473,4.890920658399618,660.625,303.5,9810652,7320807,0.67682,0.56231,108788550,85609762
pop2,2.0410385484860405,3.2637428243398388,484.25,261.0,6607904,3074706,0.62523,0.16255,74085829,36693402
imagick,3.898324785977547,0.03910000000000001,241.875,241.875,78142,0,0.0,nan,38491599,0
x264,3.822611606210796,0.1976212775888903,279.75,184.875,396009,14995,0.027252,0.0010875,39272108,659915
exchange2,3.9998874997265492,0.00014,196.375,196.375,280,0,0.40816,nan,37501421,0
perlbench,3.966247538173216,0.0669,218.625,216.375,133976,2,0.3925,0.0,37854146,119
roms,1.1062187684298128,7.3599999999999985,653.625,653.625,14779232,5041477,0.45195,0.043042,135940451,60071978
nab,3.8970351088490034,0.17087435709037474,189.875,75.41250000000001,341712,122967,0.68363,0.073741,38528518,4272690
cactuBSSN,1.563522393161922,7.150000000000002,634.25,472.5,14333873,1852339,0.00039583,0.0025484,96157385,20913944
deepsjeng,3.449574825507475,0.27699999999999997,289.25,274.375,553994,244716,0.27126,0.00043167,43499891,9499215
lbm,0.3328049318722276,27.499999999999996,788.0,788.0,55074744,27515398,0.2751,0.012593,450992195,283385440
wrf,0.759089573688185,11.8,750.75,651.375,23617208,9186125,0.55202,0.092893,197739572,101574804

cf,1.2449812601160144,2.272491767288694,266.0,25.5,4548120,3539522,0.50464,0.10112,120734635,35425538
bfs,1.209907130051116,2.1,267.125,25.099999999999998,4196720,4196664,0.53359,0.14663,124167048,40319968
bc,0.35724214138625693,21.0,794.125,154.0,41935232,28895506,0.59673,0.060811,420242621,309896026
mis,1.2083074496584145,2.11,266.75,25.099999999999998,4211112,4210932,0.53269,0.13297,124481254,40523884
pagerankdelta,0.5037091216715369,15.9,1070.0,164.0,31767848,15840379,0.62969,0.029952,298454057,163114685
components,1.207234502691794,2.11,267.0,25.099999999999998,4211104,4210959,0.5327,0.13191,124418321,40754499
components-shortcut,1.20830531891334,2.11,266.75,25.099999999999998,4211112,4210967,0.53321,0.13451,124418702,40457463
pagerank,0.30805172801528347,44.8,784.375,252.125,89635227,5189199,0.092647,0.066884,488487411,56554426
triangle,1.2062105501437634,2.11,267.0,25.099999999999998,4211112,4210944,0.53237,0.13007,124486201,40597673
bellmanford,0.5610585094789214,19.8,514.75,100.75,39554009,5374723,0.30809,0.003672,267679950,58697252
bfs-bitvector,1.2104555854821923,2.1,267.0,25.099999999999998,4196648,4196397,0.53348,0.14192,124204108,40465730
bfscc,1.2079843099385825,2.11,267.0,25.099999999999998,4211112,4210935,0.53237,0.12934,124543447,40711071
radii,1.2074974099361078,2.11,267.0,25.099999999999998,4211112,4210907,0.53404,0.13916,124446629,40677188

facesim,0.8416208394490846,10.549763033175356,378.75,53.975,21100493,3946302,0.59272,0.073877,178628034,47135103
fluidanimate,1.0961113962712843,4.93,683.75,51.1875,9866203,5157346,0.28329,0.0022893,136980253,56219249
raytrace,1.1739996423254027,3.420000000000001,330.375,30.300000000000004,6841205,5251228,0.58424,0.11544,127840718,55847472
streamcluster,0.9613243652259226,12.200000000000001,323.375,52.9875,24466323,22893,0.62899,0.044343,156443485,420930
canneal,1.163359040518874,4.9312477853707914,435.875,39.25000000000001,9864294,3382568,0.28712,0.010234,129152358,40095782
