,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

bwaves,0.6177859800137714,13.6,513.375,484.5,27306004,11938526,3.2268e-05,0.00054468,243036743,111682876
xz,2.6308221452502782,1.0712398609501739,320.125,153.625,2145515,1769595,0.012262,3.838e-05,57083607,16489595
gcc,0.8936883289298506,17.799999999999997,346.875,346.375,35594816,38187,0.32279,0.0037918,168075148,373045
mcf,0.8019575286456488,17.987025136880206,589.5,442.0,36964254,1894004,0.0099683,0.0011039,192419901,17852471
leela,3.983849962979057,0.011799999999999998,223.625,105.35,23520,702,0.15964,0.0,37655427,10567
xalancbmk,2.42103941567455,1.9887444794952682,607.375,331.875,4004909,3846692,0.314,0.00072039,62302027,36200447
omnetpp,0.8621797088466976,10.4,431.125,331.75,20759665,9199088,0.066277,5.4124e-05,174164131,84252594
fotonik3d,0.519939917472314,16.5,508.125,439.375,33092226,19453970,8.0595e-06,0.00011431,288704883,176589143
cam4,1.528945505670801,4.451803822502117,489.0,209.375,8964972,6203795,0.21747,0.0060109,98953221,59887678
pop2,2.0731409679899024,3.2724561342659326,423.0,229.875,6632207,3158002,0.17826,0.0009582,73091169,29677847
imagick,3.9022499295322435,0.03910000000000001,235.25,235.25,78124,269,0.0,0.037508,38444898,3665
x264,3.8532992714727605,0.19436866083918322,247.25,162.125,389242,15657,0.00038426,0.0075959,38950080,201363
exchange2,3.9998999999999993,0.00014,180.0,180.0,280,0,0.17421,nan,37501272,0
perlbench,3.965661640313131,0.0669,218.0,215.375,133859,7309,0.036422,0.00027364,37845062,99794
roms,1.1167726883309133,7.3599999999999985,598.75,598.75,14762426,5080918,0.042728,0.0016949,134531555,46488503
nab,3.877070678327035,0.16600000000000004,206.125,79.00000000000001,332196,196675,0.018705,0.0030472,38742539,2417841
cactuBSSN,1.58438537932075,7.154996505939902,638.625,476.0,14328800,1834257,0.00017601,0.0010593,94796396,19470290
deepsjeng,3.4937973477354523,0.276,250.75,237.375,552540,292548,0.0022403,0.0,42982307,2832679
lbm,0.33853248133565156,27.499999999999996,702.125,702.125,55057320,27596354,0.067836,0.00058542,443208639,257168846
wrf,0.7614548636516643,11.562296858071504,683.375,581.125,23123540,9205484,0.14547,0.00074282,197125771,87841144

cf,1.2202979573147663,2.272491767288694,299.25,26.199999999999996,4548120,3593845,2.2634e-05,0.0026793,123056565,35509347
bfs,1.1407195877176375,2.1,291.0,25.599999999999998,4196720,4294454,0.0,0.0022245,131695179,42450612
bc,0.3777708579168213,21.0,651.125,129.0,41935232,29028154,0.2015,0.0030899,397537689,263820865
mis,1.1374495627316163,2.11,291.0,25.599999999999998,4211112,4312132,0.0,0.0021415,131967981,42543745
pagerankdelta,0.5085523611641135,15.9,962.625,149.0,31767848,15945555,0.17963,0.0085292,295793901,152801807
components,1.1379867590692914,2.11,291.0,25.599999999999998,4211104,4313207,0.0,0.0021892,131925411,42653106
components-shortcut,1.1379357400646413,2.11,291.125,25.599999999999998,4211112,4308163,0.0,0.0019533,131938730,42713177
pagerank,0.3155472481431893,44.099999999999994,719.375,228.75,88233334,5281097,0.019832,0.0017198,476270330,49033970
triangle,1.1374613089946521,2.11,291.0,25.599999999999998,4211112,4310760,0.0,0.0022346,131968664,42606015
bellmanford,0.5774635267467382,19.500000000000004,456.0,89.875,38952193,5359041,0.073034,0.00012927,260094939,49198591
bfs-bitvector,1.1387873760855107,2.1,291.0,25.599999999999998,4196648,4296764,0.0,0.0034786,131782464,42532033
bfscc,1.137836128354675,2.11,291.0,25.599999999999998,4211112,4307333,0.0,0.0019882,131982243,42547653
radii,1.138867758858033,2.11,290.875,25.599999999999998,4211112,4305383,1.1398e-06,0.0021161,131872140,42476696

facesim,0.8582678712988446,9.996245149148793,330.625,47.88750000000001,20023181,3547050,0.097435,0.0014193,175194011,34516462
fluidanimate,1.1194866532479235,4.95249621785174,586.25,46.7125,9907644,5263947,0.037697,3.306e-05,134080477,48447759
raytrace,1.1447852716717732,3.4287468030690538,323.0,30.0125,6850854,5317299,0.023234,0.0042035,131200872,50709043
streamcluster,0.9505675889366431,12.3,291.125,49.6125,24578402,19787,0.24708,0.022916,158271446,180353
canneal,1.2083980149493012,4.523744821872411,387.5,35.6,9046466,3433220,0.026448,0.00010303,124324748,31469014
