,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7193015180641237,19.524647145565623,669.875,343.25,40370983,2689834,0.11782,0.0039338,215439191,27050526
fotonik3d,0.36969618498442547,26.6,655.875,585.25,53254666,23348726,0.0096915,0.0032678,405911075,228682879
cam4,1.7205348683465505,3.75,607.75,239.0,7519210,3059255,0.15782,0.0041891,87333269,29790602
parest,0.5832152068906177,27.048796440899586,438.0,346.625,54412891,930552,0.2333,0.010569,258619092,9085910
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2908086203483019,27.699999999999996,782.25,482.5,55463177,41507302,0.052533,0.0057186,516403694,415693147
blender,3.4376403209877844,1.0437275985663081,240.5,44.375,2093034,2109,0.066676,0.0080062,43729721,18049
cactuBSSN,2.217416628938376,3.5637434279705578,467.875,35.95,7122155,1521819,2.9766e-05,0.00040205,67757964,15033609
xz,1.4407013132545854,4.7412213113167185,459.375,234.125,9542532,5867737,0.0040275,2.5385e-05,104840081,56858741
roms,1.1899780429664981,7.904987355760702,433.5,178.5,15920872,3984248,0.1455,0.006427,126740577,38797095
xalancbmk,2.1350371583350363,1.58,304.375,32.75,3159641,2871001,0.00044983,0.0088316,70288679,27380836
omnetpp,0.9049639394392217,9.358746160141825,467.25,223.0,18731563,8925970,0.059799,0.0002815,165891393,86683122
bwaves,0.3456335470172097,41.9,627.0,598.75,83274851,6749234,0.16386,0.0064194,434452040,66402235
