,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7483011631291677,18.98664955478883,664.25,331.5,39188015,2473394,0.11997,0.0046227,207077082,24719098
namd,3.6420108290519173,0.24436380180189832,247.25,26.8125,489409,131300,0.082752,0.0036764,41235474,1388507
fotonik3d,0.3664048820011215,27.0,656.375,593.875,54038508,23325435,0.0096398,0.0046965,409838838,227175521
cam4,1.729097691528014,3.733743726998997,601.75,235.875,7490505,2983226,0.15835,0.0048722,86920759,29039816
deepsjeng,3.5198232977430406,0.2800000000000001,240.5,65.64999999999999,560647,192094,0.0018612,0.0,42646990,1923786
imagick,3.8379567382726747,0.12749605515009102,569.125,27.2,254944,8348,0.31275,0.012632,39125121,85874
wrf,3.764543406088867,0.2596240963855421,294.125,34.7375,519601,126929,0.13023,0.0075688,39926364,1235818
parest,0.5947622255043375,26.462411347517733,440.875,341.75,53027926,986443,0.2335,0.012724,252723920,9498604
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2897474722425457,27.699999999999996,787.375,484.5,55347198,41272979,0.052397,0.013908,517894649,421917939
nab,3.080499926964175,0.6048744059000273,207.625,29.887500000000003,1210323,26239,0.00024942,0.0047477,48705018,231823
blender,3.425041379046998,1.0687396937573619,243.25,45.3,2143766,1197,0.069525,0.0074697,43865813,11428
cactuBSSN,2.2458053379344727,3.5299999999999994,468.75,35.8375,7082650,1484959,4.9108e-05,0.00050229,66960744,14542576
perlbench,3.9511358058144483,0.08814997163925128,220.875,139.0,176307,179,0.047695,0.0,37996122,1556
x264,3.7844108476899163,0.2643722149881011,238.625,192.75,528910,11128,0.0024953,0.0033228,39664071,126727
xz,1.367321228748639,5.256145435128561,452.75,253.875,10590760,6054283,0.0057758,3.7164e-05,110619554,57618668
gcc,3.463558706288168,0.48411908956195315,298.625,33.4375,968843,399129,0.064903,0.00097713,43357223,3917731
roms,1.2029663867676337,7.934977945674599,427.375,176.75,16005901,3830722,0.14701,0.0065875,125555351,37027282
xalancbmk,2.0282609062635153,1.9074770896497917,303.75,35.3875,3818680,2873902,0.0017157,0.014692,74052793,27880650
omnetpp,0.9315329497349436,9.181248809685757,457.625,214.875,18390604,8467439,0.060368,0.00030651,161268090,80935519
bwaves,0.3457248601479516,41.9,626.25,598.25,83282487,6724007,0.16395,0.0098926,434281047,65937193

cc,0.13848732312495682,86.1,1160.0,1090.0,172618504,49423265,0.07421,0.00038146,1085808112,498887315
bc,1.0460246013463474,7.89,340.125,262.5,15798655,4716075,0.027534,0.0016286,143567805,45208966
sssp,2.130324276295588,2.439999999999999,418.375,138.625,4885595,1782233,0.044576,0.0036093,70461950,16192242
tc,0.18369371911540952,41.00000000000001,1205.0,1205.0,82128851,78335570,0.25733,0.010606,817076282,784876349
pr,0.5128560904682068,22.7,493.625,493.625,45481465,11348045,0.17297,0.008039,292654485,109471234
bfs,0.6246861200772117,17.0,439.75,439.75,34125548,11338887,0.20194,0.0064419,240360652,109207570
