,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7463172640652196,19.012179191772898,666.375,332.75,38933706,2523269,0.12001,0.0049286,206327393,25140222
namd,3.64694532315723,0.23537293807187618,248.125,26.599999999999998,471200,139619,0.077066,0.0027553,41183045,1483178
fotonik3d,0.36894493217751567,26.6,652.25,582.25,53266151,23380399,0.0096829,0.0049669,406782748,225737132
cam4,1.7113354544162789,3.7762437893342162,609.0,240.625,7558219,3099076,0.15715,0.0045608,87735009,30058752
deepsjeng,3.51373557257211,0.279,243.375,66.075,558804,251106,0.0018681,0.0,42729334,2484687
imagick,3.828819802760563,0.12862124752831205,587.625,27.5125,257262,15856,0.30237,0.0046246,39231525,164580
wrf,3.7448164570823343,0.26474834882256915,304.125,35.6,529304,195346,0.12397,0.0044839,40163589,1891131
parest,0.5947575701962307,26.47492904446547,439.75,341.25,53127916,974137,0.23393,0.013613,252963122,9371684
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2930785553669302,27.699999999999996,776.875,479.0,55473430,41491909,0.052932,0.005731,512615540,399865093
nab,3.072999554122659,0.6116246166428134,207.875,30.0,1222756,40901,0.00026396,0.004641,48846111,363740
blender,3.411260807772613,1.079976850363321,244.375,45.6375,2158224,28796,0.069019,0.0054172,44057847,264443
cactuBSSN,2.221856656385459,3.5312469092193566,483.125,36.3375,7075855,1533209,3.8422e-05,0.00041474,67636775,15020714
perlbench,3.9508860688082907,0.08816247340802723,221.0,138.75,176307,634,0.046721,0.0,37989236,6120
x264,3.780035253293487,0.26374834256717533,243.125,195.75,527961,15990,0.002473,0.0038126,39722748,174207
xz,1.3515837429716293,5.184937150939899,454.125,251.375,10428584,6320462,0.0073217,3.8447e-05,111676191,59677391
gcc,3.4352727012160478,0.5177448074677974,297.5,34.3,1036160,366151,0.061439,0.0016382,43708542,3667603
roms,1.202554070799799,7.941232875918916,426.0,176.125,15996709,3877316,0.14601,0.006356,125455107,37461851
xalancbmk,2.0760735769778607,1.7299999999999998,299.75,33.724999999999994,3460556,2886639,0.00084847,0.0050181,72342107,26484882
omnetpp,0.9255687704566632,9.20874881130281,461.25,217.375,18447155,8656392,0.060342,0.00030925,162299696,82541542
bwaves,0.3455023836809896,41.9,626.75,598.75,83307649,6768601,0.16333,0.0092857,434543342,66201556

cc,0.13847114394656207,85.88748725418792,1160.0,1090.0,171908872,49441934,0.074659,0.00040322,1084714631,497920665
bc,1.0454122862171633,7.89,340.625,263.0,15782752,4717759,0.027448,0.0014477,143547272,45125655
sssp,2.1282369035140056,2.4537404580152677,417.25,139.0,4908763,1771018,0.044162,0.0036216,70525914,16132700
tc,0.18528745605744065,41.00000000000001,1190.0,1190.0,82127388,78411370,0.25817,0.0063629,810031955,750331342
pr,0.5131699398565857,22.7,493.875,493.875,45491414,11387491,0.17296,0.0074634,292532967,109450687
bfs,0.6245061724145851,17.0,440.0,440.0,34111484,11389807,0.20207,0.0060644,240332454,109338808
