BASELINE_CP_ZEN,SCAN_1,SCAN_2,SCAN_4,SCAN_8,SCAN_16,SCAN_128
roms,1.0,1.037,1.038,1.058,1.031,1.004,1.005
bwaves,1.0,1.013,1.019,1.013,1.014,1.007,1.007
xz,1.0,1.050,1.033,0.990,0.958,0.946,0.946
mcf,1.0,1.027,1.022,1.022,1.024,1.016,1.016
omnetpp,1.0,1.051,1.055,1.016,0.992,0.978,0.978
lbm,1.0,1.124,1.144,1.109,1.055,1.036,1.036
cactuBSSN,1.0,0.991,0.996,0.979,0.951,0.940,0.930
parest,1.0,1.001,1.000,1.001,1.002,1.000,1.000
cam4,1.0,1.031,0.999,1.023,1.005,1.003,1.001
blender,1.0,1.000,1.001,1.001,1.001,1.001,1.001
xalancbmk,1.0,1.023,0.936,0.889,0.883,0.884,0.884
fotonik3d,1.0,1.092,1.102,1.093,1.108,1.051,1.026
gmean_mtf/spec2017,1.0,1.036,1.027,1.015,1.001,0.988,0.985
tc,1.0,1.084,1.143,1.159,1.081,1.078,1.078
bfs,1.0,1.089,1.129,1.162,1.084,1.068,1.068
cc,1.0,1.089,1.128,1.169,1.092,1.081,1.080
sssp,1.0,1.087,1.152,1.172,1.097,1.094,1.093
bc,1.0,1.075,1.145,1.182,1.105,1.102,1.103
pr,1.0,1.091,1.169,1.196,1.116,1.114,1.114
gmean_mtf/gap,1.0,1.086,1.144,1.173,1.096,1.089,1.089
gmean,1.0,1.052,1.065,1.065,1.031,1.021,1.019
