BASELINE_OP_MOP4,SCAN_1,SCAN_2,SCAN_4,SCAN_8,SCAN_16,SCAN_128
mcf,1.0,1.012,1.001,1.038,1.039,0.994,0.994
fotonik3d,1.0,0.997,0.999,0.994,0.978,1.012,1.012
cam4,1.0,0.977,0.970,0.996,0.964,0.975,0.952
parest,1.0,0.996,0.999,0.998,1.000,0.998,1.000
lbm,1.0,0.995,1.022,1.037,0.992,0.982,0.982
blender,1.0,0.999,0.999,1.000,1.000,1.000,1.000
cactuBSSN,1.0,1.008,1.022,1.002,0.969,0.946,0.953
xz,1.0,1.024,1.022,0.991,0.960,0.944,0.944
roms,1.0,1.006,1.017,0.990,1.000,0.982,0.982
xalancbmk,1.0,0.954,0.895,0.825,0.804,0.804,0.804
omnetpp,1.0,1.024,1.027,0.995,0.965,0.925,0.924
bwaves,1.0,1.000,1.002,0.998,1.003,1.002,0.986
gmean_mtf/spec2017,1.0,0.999,0.997,0.987,0.971,0.962,0.959
gmean,1.0,0.999,0.997,0.987,0.971,0.962,0.959
