WRITE_CNT_1,WRITE_CNT_2,WRITE_CNT_3,WRITE_CNT_4,WRITE_CNT_5,WRITE_CNT_6,WRITE_CNT_7,WRITE_CNT_8,WRITE_CNT_9,WRITE_CNT_10,WRITE_CNT_11,WRITE_CNT_12,WRITE_CNT_13,WRITE_CNT_14,WRITE_CNT_15,WRITE_CNT_16
roms,1.0,1.100,1.076,1.078,1.056,1.051,1.061,1.070,1.058,1.040,1.048,1.046,1.054,1.039,1.033,1.034,1.018
bwaves,1.0,1.021,1.019,1.021,0.978,0.975,0.972,1.012,1.010,1.011,1.010,1.007,0.969,1.008,1.006,1.007,1.005
xz,1.0,1.104,1.089,1.056,1.021,0.980,0.961,0.966,0.961,0.960,0.957,0.956,0.953,0.951,0.950,0.951,0.951
mcf,1.0,1.034,1.035,1.034,1.031,1.024,1.025,1.024,1.024,1.021,1.017,1.018,1.015,1.015,1.013,1.016,1.015
omnetpp,1.0,1.105,1.086,1.076,1.064,1.016,1.011,1.013,0.996,0.996,1.009,0.989,1.001,0.988,0.989,0.986,0.991
lbm,1.0,1.236,1.230,1.212,1.174,1.134,1.126,1.127,1.128,1.113,1.102,1.102,1.101,1.102,1.091,1.088,1.079
cactuBSSN,1.0,0.995,0.989,0.971,0.969,0.939,0.933,0.930,0.926,0.922,0.925,0.930,0.918,0.905,0.912,0.922,0.906
parest,1.0,1.005,1.006,1.003,1.004,1.003,1.003,1.004,1.004,1.002,1.004,1.002,1.001,1.001,1.001,1.001,1.001
cam4,1.0,1.040,1.036,1.026,0.998,0.983,0.976,0.971,0.967,0.969,0.965,0.965,0.962,0.957,0.959,0.959,0.961
blender,1.0,1.001,1.002,1.001,1.001,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
xalancbmk,1.0,1.029,0.992,0.959,0.922,0.884,0.882,0.883,0.881,0.880,0.880,0.881,0.881,0.881,0.881,0.881,0.881
fotonik3d,1.0,1.185,1.157,1.140,1.138,1.140,1.099,1.141,1.143,1.108,1.128,1.117,1.080,1.044,1.054,1.051,1.034
gmean,1.0,1.069,1.057,1.046,1.028,1.008,1.002,1.009,1.006,1.000,1.002,0.999,0.993,0.989,0.989,0.990,0.985
