WRITE_CNT_1,WRITE_CNT_2,WRITE_CNT_3,WRITE_CNT_4,WRITE_CNT_5,WRITE_CNT_6,WRITE_CNT_7,WRITE_CNT_8,WRITE_CNT_9,WRITE_CNT_10,WRITE_CNT_11,WRITE_CNT_12,WRITE_CNT_13,WRITE_CNT_14,WRITE_CNT_15,WRITE_CNT_16
roms,1.0,1.003,1.003,0.991,0.971,0.975,0.962,0.975,0.956,0.976,0.957,0.985,0.981,0.964,0.970,0.973,0.975
bwaves,1.0,0.997,0.996,0.989,0.996,0.991,0.985,0.991,0.991,0.991,0.990,0.962,0.988,0.986,0.991,0.990,0.988
xz,1.0,1.081,1.066,1.045,1.013,0.982,0.971,0.976,0.970,0.962,0.965,0.957,0.953,0.958,0.952,0.950,0.956
mcf,1.0,0.984,0.976,1.007,0.986,1.001,0.999,1.003,1.000,0.972,1.000,0.996,0.996,0.996,0.964,0.993,0.993
omnetpp,1.0,1.086,1.067,1.036,1.013,0.995,0.980,0.974,0.962,0.963,0.959,0.951,0.952,0.948,0.940,0.942,0.946
lbm,1.0,1.084,1.076,1.066,1.051,1.037,1.028,1.016,1.009,1.006,1.004,1.000,0.999,0.993,0.991,0.990,0.988
cactuBSSN,1.0,0.994,1.003,0.992,0.966,0.957,0.948,0.951,0.953,0.945,0.942,0.941,0.944,0.930,0.944,0.933,0.934
parest,1.0,1.001,1.000,1.000,1.001,0.999,1.001,1.000,1.000,1.000,1.001,1.001,1.001,1.000,1.000,1.000,1.000
cam4,1.0,1.029,1.004,0.995,0.991,0.981,0.976,0.977,0.979,0.976,0.974,0.975,0.971,0.971,0.973,0.973,0.974
blender,1.0,1.000,1.000,0.999,1.000,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
xalancbmk,1.0,1.025,0.962,0.923,0.893,0.863,0.855,0.859,0.858,0.855,0.858,0.858,0.858,0.858,0.858,0.858,0.858
fotonik3d,1.0,1.064,1.062,1.051,1.043,1.038,1.032,1.012,1.027,1.050,1.016,1.037,1.029,1.035,1.015,1.009,1.024
gmean,1.0,1.028,1.017,1.007,0.993,0.984,0.977,0.977,0.974,0.973,0.971,0.971,0.972,0.969,0.966,0.967,0.969
