"BASELINE_CP_ZEN","NO_WRITES_CP_ZEN","WRITE_QUEUE_9_CP_ZEN","WRITE_QUEUE_11_CP_ZEN","WRITE_QUEUE_13_CP_ZEN"
bwaves,1.000,1.100,1.025,1.031,1.036
xz,1.000,1.756,1.046,1.040,1.040
parest,1.000,1.026,1.008,1.013,1.021
fotonik3d,1.000,1.853,1.099,1.110,1.091
cactuBSSN,1.000,1.124,1.005,1.005,1.005
omnetpp,1.000,1.716,1.051,1.054,1.054
mcf,1.000,1.144,1.051,1.067,1.089
xalancbmk,1.000,1.164,1.000,1.000,1.000
roms,1.000,1.713,1.174,1.060,1.068
lbm,1.000,2.735,1.126,1.152,1.151
blender,1.000,1.000,1.000,1.000,1.000
gmean,1.000,1.411,1.052,1.047,1.050
