"BASELINE_OP_MOP4","NO_WRITES_OP_MOP4","WRITE_QUEUE_9_OP_MOP4","WRITE_QUEUE_11_OP_MOP4","WRITE_QUEUE_13_OP_MOP4"
bwaves,1.000,1.073,1.007,1.008,1.013
xz,1.000,1.689,1.054,1.054,1.054
parest,1.000,1.017,1.003,1.004,1.005
fotonik3d,1.000,1.771,1.160,1.255,1.304
cactuBSSN,1.000,1.140,1.016,1.016,1.016
omnetpp,1.000,1.734,1.061,1.052,1.052
mcf,1.000,1.156,1.043,1.073,1.070
xalancbmk,1.000,1.158,1.000,1.000,1.000
roms,1.000,1.550,1.023,1.043,1.054
lbm,1.000,2.476,1.093,1.113,1.113
blender,1.000,0.999,1.000,1.000,1.000
gmean,1.000,1.375,1.041,1.054,1.059
